fingerprint,title,author,issue,date,categories,tags,id,license,source,source-hostname,hostname,filename,has_text
+JdbWjeGSisjDaSmYJ0rh2AcxVk=,A Rose for Revenge,Nancy Hatch,Issue 84: 4th Quarter 2022,2022-09-12,Fiction,,,,https://www.abyssapexzine.com/2022/09/a-rose-for-revenge/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/NWUCnDJG+WtjUGOlfrI0nVsul+0.json,TRUE
+af/7O19qU/37MOxqr/LhsqwtxQ=,Human Child,Pauline J. Alama,Issue 61: 1st Quarter 2017,2017-01-01,Fiction,,,,https://www.abyssapexzine.com/2017/01/human-child/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/F63m-MEYipe3vjI416kfXgxdSKw.json,TRUE
+i45qP6byrr66nY9YN1Sh/HVSF4=,Stars and Stones,Paula Hammond,Issue 81: 1st Quarter 2022,2022-01-01,Flash,,,,https://www.abyssapexzine.com/2022/01/stars-and-stones/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/R4wE8PyoQBy45ADEH4xFcINfaXU.json,TRUE
+mIIwWgQUOEqsR/HparQ6zg+Mdg=,Erin and the Dinosaurs,Jon Hansen,Issue 13: January-February 2005,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2005/abyss-apex-january-february-2005-erin-and-the-dinosaurs/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/6wltEduLkg75Hv126UmfwGFlXI0.json,TRUE
/C/LFEH+y+9y/s6+ej5s9NSsi04=,Satellite Technician,Jason Mullins,Issue 60: 4th Quarter 2016,2016-09-05,Flash Fiction,,,,https://www.abyssapexzine.com/2016/09/satellite-technican/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/JEE2xSM-y0Zf+c8xSUuMqSd6Ir0.json,TRUE
/GDdoO7wa+1nRMaShNxKsPVbNuc=,Three Hundred and Sixty-Four Hand-Tied Knots,R. Y. Brockway,Issue 77: 1st Quarter 2021,2021-01-01,Fiction,,,,https://www.abyssapexzine.com/2021/01/three-hundred-and-sixty-four-hand-tied-knots-2/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/PLYXUrSv53ZBmWngI0l8sulQMFY.json,TRUE
/z1Rk29aZPP/xKoi10f1kqS1Gww=,Slamnesia,Ronald D. Ferguson,Issue 49: 1st Quarter 2014,2013-12-28,Fiction,,,,https://www.abyssapexzine.com/2013/12/slamnesia/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/vhkJrsxq5dhJ29urNxhmZDD89NQ.json,TRUE
0nBdCMR/wBT5s54zh4x1mYDmeDY=,Prayer,Mike Buckley,Issue 55: 3rd Quarter 2015,2015-06-16,Fiction,,,,https://www.abyssapexzine.com/2015/06/prayer/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/IpOJx3xJs2fO8qFrfWm4P1j4I+M.json,TRUE
0sLCbdiM+AWvwQVNXszjyGl8f8w=,Ageless,Aaron Callow,Issue 19: 3rd Quarter 2006,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2006/ageless/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/3AA2rGr5tTgijtPd5kie5Cvnj4E.json,TRUE
0u9ZK/DYdq760lbAfhP9F1T2JWM=,The Road To Heather Cove,Richard A. Lovett,Issue 22: 2nd Quarter 2007,2011-01-02,Fiction,,,,https://www.abyssapexzine.com/archives/abyss-and-apex2007/the-road-to-heather-cove/,Abyss & Apex,abyssapexzine.com,./scrape/jsonfiles/h6cm6UYfnIXDqD5RysOPJnY9FFo.json,TRUE
