fingerprint,title,author,date,categories,tags,id,license,comments,source,source-hostname,hostname,excerpt,filename,has_text
DK/xWZaqwy2jHzt9uFs7a0/Ocvk=,Erzulie Dantor,Tim Susman,2012-11-06,Short Fiction,Apex Magazine;Erzulie Dantor;Issue 42;Short Fiction 2;Tim Susman,4281,,,https://apex-magazine.com/short-fiction/erzulie-dantor/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/n1bekkNYgCbOIta4znDUIQL94gI.json,TRUE
WiT+ZJ402gc8HEJHurH8nrZ9o8U=,The Last Stand of the Ant Maker,Paul Jessup,2010-04-07,Short Fiction,Apex Magazine;Issue 12;Paul Jessup;Short Fiction 2;The Last Stand Of The Ant Maker,4533,,,https://apex-magazine.com/short-fiction/the-last-stand-of-the-ant-maker/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/NvH9c7+l27OPW9WzRmqS3FeidXs.json,TRUE
98H9mpgIXe0Xp+nrtGnSGfG+evQ=,Penelope Waits,Dennis Danvers,2017-10-03,Short Fiction,Apex Magazine;Dennis Danvers;Issue 101;Penelope Waits;Short Fiction 2,13940,,,https://apex-magazine.com/short-fiction/penelope-waits/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/yyVFIkWUldqRjQ1PrhdbiLW213k.json,TRUE
J0YO8J0i1JpHiA9ewkD+LQfftkY=,Memory Tree,Jes Rausch,2015-12-22,Short Fiction,Apex Magazine;Issue 79;Jes Rausch;Memory Tree;Short Fiction 2,10683,,,https://apex-magazine.com/short-fiction/memory-tree/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/87CaAFyMZT-mq0FHcVLprB5fFyA.json,TRUE
RR44IioAMFzjDybw1A8Ll2dc4Dk=,Bargains by the Slant-Light,Cassandra Khaw,2018-10-09,Short Fiction,Apex Magazine;Bargains By The Slant Light;Cassandra Khaw;Issue 113;Short Fiction 2,15769,,,https://apex-magazine.com/short-fiction/bargains-by-the-slant-light/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/eKfnmvKkwbwwylnLnauTsGApDQA.json,TRUE
K/JFcQ0ZIT/pWRQByRTeAxzm8ZQ=,Alternate Girl’s Expatriate Life,Rochita Loenen-Ruiz,2012-04-03,Short Fiction,Alternate Girls Expatriate Life;Apex Magazine;Issue 35;Rochita Loenen Ruiz;Short Fiction 2,3920,,,https://apex-magazine.com/short-fiction/alternate-girls-expatriate-life/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/Uwxhah2pyue29zGq-+MXN+a8FaQ.json,TRUE
gU67KA2fIJypd/p+o/LpHrRo+lY=,Before and After,Ken Liu,2013-12-03,Short Fiction,Apex Magazine;Before And After;Issue 55;Ken Liu;Short Fiction 2,6875,,,https://apex-magazine.com/short-fiction/before-and-after/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/VScU33S2l4hO+-PjvvEC9-r4S3A.json,TRUE
wrQgizdRM9hylRDbi0q52KTk7Ig=,Uniform,Errick Nunnally,2021-06-23,Short Fiction,Apex Magazine;Cw;Errick Nunnally;Issue 123;Reprint;Short Fiction 2;Uniform,42591,,,https://apex-magazine.com/short-fiction/uniform/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/9stayUviYO90FyvxLoTbVP8r-sM.json,TRUE
hyiBTjaz3lJIK7jjDxdLgQ3dgg8=,Valentines,Shira Lipkin,2011-06-12,Short Fiction,Apex Magazine;Issue 25;Reprint;Shira Lipkin;Short Fiction 2;Valentines,3841,,,https://apex-magazine.com/short-fiction/valentines/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/X+1ROUP77ZblqRAOSldZAaNJ-Uc.json,TRUE
a6OzD2z00enXXYXIEjLPsObNNNU=,The Girl Who Had Six Fingers,Brenda Stokes Barron,2010-10-12,Short Fiction,Apex Magazine;Brenda Stokes Barron;Issue 17;Short Fiction 2;The Girl Who Had Six Fingers,1180,,,https://apex-magazine.com/short-fiction/the-girl-who-had-six-fingers/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/g8p4sZsVQGRgJlx6a9uHbUy4Q9Q.json,TRUE
oDpatjMGi6DwMPMCHPrHr9TKoqw=,John Dillinger and the Blind Magician,Allison M. Dickson,2015-01-06,Short Fiction,Allison M Dickson;Apex Magazine;Issue 68;John Dillinger And The Blind Magician;Short Fiction 2,8955,,,https://apex-magazine.com/short-fiction/john-dillinger-and-the-blind-magician/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/M7JYul2NFRqRMXXoIq8TcKIP9Ak.json,TRUE
dBpfSo8ADKT4Y7+NNtAZnUDTq8U=,Perfect,Haddayr Copley-Woods,2014-04-01,Short Fiction,Apex Magazine;Haddayr Copley Woods;Issue 59;Perfect;Short Fiction 2,7537,,,https://apex-magazine.com/short-fiction/perfect/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/8B+NrsaHhaTo+QpxRsWXoNtOCkA.json,TRUE
TVrfjqCPEeKN9fF9JweQ0uZqFnM=,Gasping,Brandon O'Brien,2018-08-21,Short Fiction,Apex Magazine;Brandon Obrien;Gasping;Issue 111;Short Fiction 2,15556,,,https://apex-magazine.com/short-fiction/gasping/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/r94LwjZkmc-fsCWmy7OVt-Nmla0.json,TRUE
mJeViJahgGXiFR9uQNtYVaqvHNU=,During the Pause,Adam-Troy Castro,2012-09-04,Short Fiction,Adam Troy Castro;Apex Magazine;During The Pause;Issue 40;Short Fiction 2,3945,,,https://apex-magazine.com/short-fiction/during-the-pause/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/gl-OuhA8lfHD2ftf1KB-VOwLTtA.json,TRUE
G7L/MYuJ/3zt1DVHOHdPZkztwMY=,The Rat,Yohanca Delgado,2021-09-30,Short Fiction,Apex Magazine;Cw;Issue 125;Reprint;Short Fiction 2;The Rat;Yohanca Delgado,48181,,,https://apex-magazine.com/short-fiction/the-rat/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/Nad6RRob3Bzt93LSJ2p5y5E321k.json,TRUE
tbyKA6xEmxz8fTb0kD6cGV4od/k=,War Dog,Mike Barretta,2016-09-26,Short Fiction,Apex Magazine;Issue 88;Mike Barretta;Reprint;Short Fiction 2;War Dog,12295,,,https://apex-magazine.com/short-fiction/war-dog/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/wfyY4NPYoUfJKyjgeBr4MyLf+Mo.json,TRUE
HtgYI8pdytGzOMx4klKicwKf0VA=,50 Fatwas for the Virtuous Vampire,Pamela K. Taylor,2010-11-08,Short Fiction,50 Fatwas For The Virtuous Vampire;Apex Magazine;Issue 18;Pamela Taylor;Short Fiction 2,1156,,,https://apex-magazine.com/short-fiction/50-fatwas-for-the-virtuous-vampire/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/4dNIKETCVacbO1sOTABhjciFcg0.json,TRUE
tybyJngKB6tnJxaP1MBoTPwx6LU=,How to Be Good,R Gatwood,2021-07-20,Short Fiction,Apex Magazine;Cw;How To Be Good;Issue 124;R Gatwood;Short Fiction 2,44496,,,https://apex-magazine.com/short-fiction/how-to-be-good/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/QBJy2TEXTsEcg5SRDxAekx0UKb8.json,TRUE
9i9erLU6b6tSZ8VxY0UlpURc62I=,Fungal Gardens,Ekaterina Sedia,2009-09-08,Short Fiction,Apex Magazine;Ekaterina Sedia;Fungal Gardens;Issue 3;Short Fiction 2,1323,,,https://apex-magazine.com/short-fiction/fungal-gardens/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/rc5SEKACQ9BptONlqrXQ3rYjHxE.json,TRUE
7xd3iYpjro4j2UFQiDftZt1/0No=,It Rises and Falls and Rises Again,RJ Taylor,2022-03-01,Short Fiction,Apex Magazine;Cw;Issue 130;It Rises And Falls And Rises Again;Rj Taylor;Short Fiction 2,53071,,,https://apex-magazine.com/short-fiction/it-rises-and-falls-and-rises-again/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/zwpcIXAqMkkV8wAfrPMyZj9+63A.json,TRUE
HeRCVTGqn/Oei5oEV2NPAVilANM=,Tumbledown,Kameron Hurley,2017-09-12,Short Fiction,Apex Magazine;Issue 100;Kameron Hurley;Reprint;Short Fiction 2;Tumbledown,13848,,,https://apex-magazine.com/short-fiction/tumbledown/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/JwIyrVDu2me7CpX9hMNPjqCIElY.json,TRUE
jkI09ZcdPO6Sf9IxV+PXcjDcDU8=,Kutraya’s Skies,Dave Creek,2016-01-29,Short Fiction,Apex Magazine;Dave Creek;Issue 80;Katruyas Skies;Reprint;Short Fiction 2,10903,,,https://apex-magazine.com/short-fiction/kutrayas-skies/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/HFtJG2YIDI9k0z9Qv7F6x-4qotA.json,TRUE
VGFHAOQaJz5eUoOzzz9vupADGAM=,A Different Kind of Place,Tobias S. Buckell,2018-06-19,Short Fiction,A Different Kind Of Place;Apex Magazine;Issue 109;Short Fiction 2;Tobias S Buckell,15237,,,https://apex-magazine.com/short-fiction/a-different-kind-of-place/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/TJZ0URW50m3VlzeHxO6FsLLMyx8.json,TRUE
NfT24JNVxPGrGCv0etf+mIQb138=,The Eater,Michael J. Deluca,2011-04-18,Short Fiction,Apex Magazine;Issue 23;Michael J Deluca;Short Fiction 2;The Eater,3823,,,https://apex-magazine.com/short-fiction/the-eater/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/LYwo-j8hi1SvwoPi2KwmD--huko.json,TRUE
