fingerprint,title,author,date,categories,tags,id,license,comments,source,source-hostname,hostname,excerpt,filename,has_text
76+1GLuRLdk5VH/OhVxEiQl60pE=,Snow Snipers,By T.S. George ,1995-01-01,,,,,,http://www.aphelion-webzine.com/shorts/snowsnipers.htm,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/1/+GboTpSOfuRXi0Ya3fxBtoieTDE.json,TRUE
DXlMbTzC9GMp+zPaEhtMftzeip0=,Small Blue Sphere Called Earth,,1995-01-01,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/3/-g7nNf+6duZhqWw6j2JZL1QEgjg.json,TRUE
kYQwU0hhEk4Q0mxCv9RLjYw+sG8=,TIME WAITS,Charles Sundt,1995-01-01,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/3/DbfqQ8vY-uhnt+lujOikRhXO8JE.json,TRUE
n4JdFWKI7jAeWrmcYPBWZMmJXg0=,Space Policy in the 21st Century:,,1995-01-01,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/3/3J1P+UMVYCEM96mpJKfRJ4DLaaY.json,TRUE
PLKh2jwpUQOp9q2goLeiWiUFJJA=,Raw Terra,Nick Pollotta ,1995-01-01,,,,,,http://www.aphelion-webzine.com/shorts/2001/04/RawTerra.htm,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/2/CJUgs45YtivmGeuJjvLzFYkmg-4.json,TRUE
WDgKS2sw6m4Nt5UnQRYLkhKXLfQ=,GEN,,1995-01-01,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/2/PuJ3VH0mdTqZauP8ZPx6UEG1mYc.json,TRUE
XoHqXTOPwbxf4/zXef9SHsvKgzI=,Lunchtime at the Justice Caf̩,,1995-01-01,,,,,,http://www.aphelion-webzine.com/shorts/j_cafe.htm,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/2/jg9Ixipx+TKXXxi1KwC-STdIbU0.json,TRUE
ZGfO4SQo9SLNVBPmHostqVE3ZrQ=,Where Have All The Heroes Gone?,,1995-03-24,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/2/yvu5K-EI4EfkN6EdjnmWXooUYpM.json,TRUE
fBGoakdgODNscgGOyXo5lCY08Lc=,By Jeff Williams,,1996-01-01,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/1/irkMY66+U78UAcy4P30gACa47Wo.json,TRUE
TUwZFsZx4I5wWXNjDUyn72kB3z0=,White Night,Venice Buhain,1996-01-01,,,,,,http://www.aphelion-webzine.com/shorts/jostory.htm,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/1/gpOidRlM++EXP68+kl1DZfOpyDM.json,TRUE
wmujGcJnmzz3XuhfABlq7yFyUJ0=,Alien Gods,D.K. Smith,1996-01-01,,,,,,http://www.aphelion-webzine.com/shorts/a_gods.htm,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/3/lzAhd-qm04J1Hg8zBzoNCKOwM0M.json,TRUE
zUCmFLM+aBnhixOM7g4+ZLXiXXs=,Blood Online,,1996-01-01,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/3/EvzUbLZ6bsjbkfxaxxih-dQ2BHw.json,TRUE
MliIA4FdKOaL9XZtYSqOSlxXEEU=,Babylon 5 Station News - December 1996,,1996-02-12,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/1/TXWwwjifos3LcMYN4sbq5CeLmhw.json,TRUE
+8Ugp6omPmTFeAEhUO+z+K8MnIs=,STEALING TIME,,1997-01-01,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/1/KNihF1HNOvWFNl89m865e+0nCCc.json,TRUE
06z1iNiJyk2+YeB50b+1NjniPQg=,THE UNDYING MAN,,1997-01-01,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/3/ziihM9b3HZZb0t1zmAN-3MgQm2c.json,TRUE
0iQaizGB0hbHKJNmbzeU78oltjg=,The Devil They Knew,Frederick Rustam,1997-01-01,,,,,,http://www.aphelion-webzine.com/shorts/2007/Bestof97/knewdevl.html,Aphelion webzine,aphelion-webzine.com,"When a stranger arrives, a family fears the worst.",./scrape/jsonfiles/2/NBN2l6TvXc3sOeTH5sDOihzQMP4.json,TRUE
10hfFKRQ8v7TdaVH9sw5f5J5dds=,The Test,,1997-01-01,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/1/XsokBLAoElZzbDEhHTJrDzxyXO8.json,TRUE
1JjesR2cz8SC2H+ZVjPn1InHqgc=,Freedom!,Ch̩ Frances Munro ,1997-01-01,,,,,,http://www.aphelion-webzine.com/serials/2010/09/Freedom.html,Aphelion webzine,aphelion-webzine.com,"Civil war has left the planet in a shambles, its technology in ruins. However, its biotechnology has a will of its own and plans to survive.,",./scrape/jsonfiles/2/ZXwm6s12TkCT9EStdDsO-t1NjPE.json,TRUE
1k4fsyTTzVBBkDGWJz3NBRq2sOQ=,Rebirth,,1997-01-01,,,,,,,Aphelion webzine,aphelion-webzine.com,,./scrape/jsonfiles/2/yhKT7WJsq2c3cNrCX9BUHpmwjok.json,TRUE
