fingerprint,title,author,date,tags,excerpt,source-hostname,hostname,source
AzqAEMWdXuCki/MFDnxD/IjnudY=,The Star Plague,Rich Larson,2019-10-28,,"There is no lamplight inside the chapel. Bragi tries to fill in the shadows with what he remembers of the room. He knows there’s a wide open space, where the priests kneel, and beyond it the gold-gilded altar where no blood is ever spilled. The staircase to the bell tower is off to the left. Bragi sees no crouchers in their path. He motions for the priests to pass him. Something moves in front of the altar.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-star-plague/
VTQeK8Fdsh/gXlf4S4V43Beg+Vs=,The Angel Azrael Encounters the Revelation Pilgrims and Other Curiosities,Peter Darbyshire,2022-04-24,,"“Old bones like those back in the shop just have a little smouldering spark of power left in them,” Azrael said. “Bibles, though, they’re like lightning bolts. Ain’t many that can handle them without getting destroyed. And I ain’t seen any protective wards on you nephilim like on these pilgrims.”",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-angel-azrael-encounters-the-revelation-pilgrims-and-other-curiosities/
QTE9wd86qlksYIkklIGQr0slct0=,Not the Worst of Sins,Alan Baxter,2014-05-19,,"Staring up at the stars, I hear the footsteps with plenty time to spare. Two sets, trying to sneak around behind, in the dark beyond the glow of my dying fire. Graham Masters shimmers into view and opens his mouth to warn me, but I just nod and slip my pistol from its holster. So many times, desperate people will try their luck on a hapless traveller. It ain’t the first time for me. Won’t be the last.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/not-the-worst-of-sins/
viZnzRbqEuzUOG1DVNbTk+bXUZ0=,Of Thinking Being and Beast,Michael J DeLuca,2009-02-06,,"It wasn't just the minotaur's life in Boreas's hands. If Eurytus won the wager, the two human rebels would die center stage at the Circus, under torture, giving up everything they knew. Eurytus would rob them of dignity, hope, faith. If they had any left.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/of-thinking-being-and-beast-by-michael-j-deluca/
I6lte1RMNJRslnZUxtrW8tV/BDU=,Salvage,Margaret Ronald,2022-11-18,,"The lenses continued to strike as I leapt over Phidias. I wrenched Lundqvist's stylus from the socket, heedless of the damage I did to both. ""Professora Lundqvist!"" I shouted, peering at her sensor ring and the brain beyond. But the walls continued to keen, and Lundqvist's phonograph remained silent.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/salvage-by-margaret-ronald/
j1mXaQQ1nkXMpYcxDIjKTFMHTac=,"Our Fire, Given Freely",Seth Dickinson,2014-04-17,,"Rider Bray leans forward on her hands, a cat before a bird. “I could kill your gang of sixty in a minute,” she says. “I could snap their bones with my bare hands and run them down as they fled. I could do the same against six hundred. I am invested with the might of so many, Marantic Lind. No number of men lit by one solitary fire can match me.”",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/our-fire-given-freely/
ThwkUp1IfcFPt29WOmPzE1IqeMw=,The Castle That Jack Built,Emily Gilman,2022-11-18,,"He had heard rumors, when he was working for the bears, that their prince had fallen in love with a human girl, and that she had been the one to betray him. The prince, the young man who should have been a bear, was the reason why the castle must never fail, the reason why Jack must never speak.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-castle-that-jack-built-by-emily-gilman/
4Qr1grlHTTcDhPFfOpCpNots0iU=,‘His Crowning Glory’: a new tale of the Antique Lands,Noreen Doyle,2022-11-18,,"Jon went back tomorrow and the next day, to find that she had no news. On the third day, Iánheh was not at the Bab-ál-Lámeh at all. And so he worried. As did Pendergast, whose private fretting about 'His crowning glory' became more intense, at least in Jon's presence. ""Here I am working to possibly no end, and you—you sniff around the place like a street dog!"" he snapped when Jon came 'round on the third day and would not leave the office. ""Don't you have some child to tutor, some view to photograph, somewhere else to be—something to look for?""",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/his-crowning-glory-a-new-tale-of-the-antique-lands/
GtHHOeAnmo1ot+Fv6wy5nokN8tI=,Sand-Skin Man,K C Shaw,2009-01-02,,"I held my father while he died. It was all I could do, but I whispered fiercely, ""Father, I'll get your sword back one day. One day when he least expects it."" I'm not sure Father could hear me by then, but I never forgot my promise.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/sand-skin-man-by-k-c-shaw/
GBnyKhwsAbKb3OfVuyA5zoX10ac=,The <i>Swallow</i> and the Sea,E Catherine Tobler,2010-09-21,,"Abigail meant to kill herself that night, and if the leap from the rain-slick stone tower of her home didn’t do it well enough, surely the cold depth of the sea would. I watched her pace at the top of that tower, back and forth before one weak torch, and took another pull on the wine bottle. My vision blurred under the blowing rain; the wine took it a step further.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-swallow-and-the-sea-by-e-catherine-tobler/
