fingerprint,title,author,date,categories,tags,id,license,comments,source,source-hostname,hostname,excerpt,filename,has_text
EumDbHU+fWYQGWsh+MhlyqxrubY=,Five Drinks in Siltown,Frances Rowat,2013-01-01,,,,,,http://betwixtmagazine.com/five-drinks-in-siltown-by-frances-rowat/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/HmUkaQmE0pCWlOs04t+FBuT8s2M.json,TRUE
ayYhEiYHyQb/We6+kPOeGyKeZnI=,The Red Danube,Bernie Mojzes,2013-01-01,,,,,,http://betwixtmagazine.com/the-red-danube-by-bernie-mojzes/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/RdGdyRCdHMdhToe3UMPJNz1iXLQ.json,TRUE
TMjUCV3fSakvGl+6X7hh1mwEA0E=,A Map to Camelot,Rose Biggin,2013-01-01,,,,,,http://betwixtmagazine.com/a-map-to-camelot-by-rose-biggin/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/x9J-srfoFyG4Gvi4buzdYydi+J8.json,TRUE
kILS3cH/SZN6CVngKHQN0Ttnc5M=,Frenemies,Peri Fae Blomquist,2013-01-01,,,,,,http://betwixtmagazine.com/frenemies-by-peri-fae-blomquist/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/jzmD5MqkNcYwyQU813xTK0xiR9o.json,TRUE
MOsZZsic3d4LdhFoR1LzpTtBemw=,"The Creature That Came In and Ate All Our Food, and Emptied Our Wallets, and Stole All Our Hearts",Trevor Shikaze,2013-01-01,,,,,,http://betwixtmagazine.com/the-creature-that-came-in-and-ate-all-our-food-and-emptied-our-wallets-and-stole-all-our-hearts-by-trevor-shikaze/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/dYBgNAfwOtG3waOUqdnlPozKnTg.json,TRUE
5KW6MQzGnRtfPYpy8JpoqYW4OJo=,Blood Pepper and Brave Meat,Sara Saab,2013-01-01,,,,,,http://betwixtmagazine.com/blood-pepper-and-brave-meat-by-sara-saab/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/iVi8tWRUbMGMZ-TxUSE4G0mO3as.json,TRUE
YPXgY7JnBSKE//Zm2NUkr6aAMcY=,Colonel Callahan,S. L. Gilbow,2013-01-01,,,,,,http://betwixtmagazine.com/colonel-callahan-by-s-l-gilbow/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/bi9uXcfJrgE8XO42PzYuzOB4ISY.json,TRUE
2NZ8eWBA7DTRDsJY/buJt6Vx1iA=,The Book of the Lost,Sharon J. Gochenour,2013-01-01,,,,,,http://betwixtmagazine.com/the-book-of-the-lost-by-sharon-j-gochenour/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/MAv7tGv7X7we6yobvBFFG5RdZy0.json,TRUE
8Hl7kzeLD0itBuhpSKaaMMEKwGQ=,Mayor of a Flourishing City,Mark Rigney,2013-01-01,,,,,,http://betwixtmagazine.com/mayor-of-a-flourishing-city-by-mark-rigney/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/ScZH2FU1J7s5mc7E9gOHvL--k9w.json,TRUE
8lMGNRgCL98x1veh3kVeRt88HTk=,Blade,David Cleden,2013-01-01,,,,,,http://betwixtmagazine.com/blade-by-david-cleden/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/gNxmZ1jHCLFgBsq6vUSwP4cYvAM.json,TRUE
R2XZbwKid/ZLTxHvlaKUdEoC8Yg=,Beautiful Beneath the Sun,Asia Nichols,2013-01-01,,,,,,http://betwixtmagazine.com/beautiful-beneath-the-sun-by-asia-nichols/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/zuNzMZbG-6CIPcIjBz-OYNUuLTM.json,TRUE
QMMsbw1jlEFdUds7+IQenunBH8I=,Eddy,Kyle E. Miller,2013-01-01,,,,,,http://betwixtmagazine.com/eddy-by-kyle-e-miller/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/Gr-gSVY8xJJbaQNPJTx1q32clp8.json,TRUE
Q/kAtf2Z5GklDLL9gJxGXbl8rOQ=,Taste of Birdsong,Jason Kimble,2013-01-01,,,,,,http://betwixtmagazine.com/taste-of-birdsong-by-jason-kimble/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/Vpy2VKt3BraKQG1NiJ9QOqrol4s.json,TRUE
nluRS6JtoU1JUIlCatFyLr0zJ5w=,The Last Work of Jan Rosthoven,Matthew A. Timmins,2013-01-01,,,,,,http://betwixtmagazine.com/the-last-work-of-jan-rosthoven-by-matthew-a-timmins/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/9V26+3mSTFvvCDdaCcxCl+vGtrc.json,TRUE
uoq/7vsxyhc+4ur5gPorwy8LFK0=,The Stone Horse of Flores,Michael J. DeLuca,2013-01-01,,,,,,http://betwixtmagazine.com/the-stone-horse-of-flores-by-michael-j-deluca/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/hepSrQ1QaEKFQ6dsAElpJ1Q0XUY.json,TRUE
nvhaqvpoFtCIsbqtfu9/NlfQ39U=,Alienation,Robert Pritchard,2013-01-01,,,,,,http://betwixtmagazine.com/alienation-by-robert-pritchard/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/rsyfrEfgYH9UN-Vz8ct3+tZE9TY.json,TRUE
jJ/CW8WzK169hKe0DZ364h+W53k=,Restless Up North Nights,Kyle E. Miller,2013-01-01,,,,,,http://betwixtmagazine.com/restless-up-north-nights-by-kyle-e-miller/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/l-v2HYGFU+Sg-QxoxVNVVnwYTkU.json,TRUE
zI8JOKGI8vytbt/etEhuQolnnqY=,The Dragon in the Wardrobe,AJ Fitzwater,2013-01-01,,,,,,http://betwixtmagazine.com/the-dragon-in-the-wardrobe-by-aj-fitzwater/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/MkCgnU0Zcbo-flnKMgbWSwvsQV8.json,TRUE
eTwo8/J05DSJ+4/CCg17S4XIqXw=,"File 29520: Notes from Immediate Aftermath of Attack New Villain, ‘The Daemon'",Laura E. Price,2013-01-01,,,,,,http://betwixtmagazine.com/file-29520-notes-from-immediate-aftermath-of-attack-by-new-villain-the-daemon-by-laura-e-price/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/938yAwyUnYQWYX0XKH+G3PNrsaE.json,TRUE
TTgp01DF3iB4XVbn6jtRIovircE=,A Spotter’s Guide,Eric Gregory,2013-01-01,,,,,,http://betwixtmagazine.com/a-spotters-guide-by-eric-gregory/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/u1q9Hcmk7iAypvqmF5l6dKW+KUU.json,TRUE
Jeuhli0HZwJMWgrjiyLUkGayWJg=,At Her Fingertips,Jason Kimble,2013-01-01,,,,,,http://betwixtmagazine.com/at-her-fingertips-by-jason-kimble/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/MsxIFDiMlU9vYLu7spVdDv52vsc.json,TRUE
lEQn97nI5Knu1tTF4k2DELHtTrc=,Wishes,Teresa Milbrodt,2013-01-01,,,,,,http://betwixtmagazine.com/wishes-by-teresa-milbrodt/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/L1zWcwmwyXQsHCvMNIZJ9tqJzhI.json,TRUE
u5WSWZ7+RlzKnHS74gtdBciz7ao=,Fourth Is the Dwarf and the Wedding Dress,Gabriela Santiago,2013-01-01,,,,,,http://betwixtmagazine.com/fourth-is-the-dwarf-and-the-wedding-dress-by-gabriela-santiago/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/1Q06JLPoT+ttyJI+cue6RdfzcPQ.json,TRUE
3cF2sNMdXdLh3EWgWgASqiLC18w=,Phantom of the Purple Dunes,Kyle E. Miller,2013-01-01,,,,,,http://betwixtmagazine.com/phantom-of-the-purple-dunes-by-kyle-e-miller/,Betwixt Magazine,betwixtmagazine.com,,./scrape/jsonfiles/PO2Euv6zAVWR82HVO0O72S7ipO4.json,TRUE
