fingerprint,title,author,issue,date,categories,tags,id,license,comments,source,source-hostname,hostname,excerpt,filename,has_text
wAdS0ZGiPtfs4VGP/LeL3ydMLAw=,Afterwards,Thomas R,1,2002-01-01,Poetry ,,,,,http://bewilderingstories.com/issue1/afterwards.html,Bewildering Stories,bewilderingstories.com,poem,./scrape/jsonfiles/1/+Togl7-6gTnsZuLt+u21sXX+taQ.json,TRUE
AhuReo8XJ2v4VXPAFhS3L+lyptM=,The Flying Dutchman of MacKinnon Hall,Don Webb,22,2002-01-01,Article ,satanism,,,,http://bewilderingstories.com/issue22/dutchman.html,Bewildering Stories,bewilderingstories.com,Students know not what they ask of their seemingly kindly professor.,./scrape/jsonfiles/1/BxeoW-YWknJig6MvZTWLv7cqew0.json,TRUE
wAdS0ZGiPtfs4VGP/LeL3ydMLAw=,Afterwards,Thomas R,360,2002-01-01,Poetry ,,,,,http://bewilderingstories.com/issue1/afterwards.html,Bewildering Stories,bewilderingstories.com,poem,./scrape/jsonfiles/1/+Togl7-6gTnsZuLt+u21sXX+taQ.json,TRUE
B+4xpTOAHjaZfF/xhU0iJ+X3utY=,Last and First Names,Don Webb,,2002-01-01,,,,,,http://bewilderingstories.com/issue9/names.html,Bewildering Stories,bewilderingstories.com,Why a professor has always called students by their first names.,./scrape/jsonfiles/2/mWwEk87+xIXmQO9nxgTKFdap+Mc.json,TRUE
IVjyvE5t2GfYJOyyabXwXj47Lds=,The Trepanned Reality,Bertil Falk,,2002-01-01,,,,,,,Bewildering Stories,bewilderingstories.com,,./scrape/jsonfiles/2/sCjU6QY5wg6yxncnZUPWSCq7QBA.json,TRUE
TxIlBLaHu5REwqvm4c6p5zNm0OM=,"Lawn Nazis, Hostages, and Dating in the Suburbs: Welcome to My World",Sherry Smith Gray,,2002-01-01,,,,,,,Bewildering Stories,bewilderingstories.com,The woes of suburbia.,./scrape/jsonfiles/2/RSRn9NVJqHVIGDGm9hOZeYX-CGI.json,TRUE
hX0M30HA8TCrgSn51vPWOCTtRsA=,Mars Draws Near,Don Webb,57,2003-01-01,Poetry ,,,,,http://bewilderingstories.com/issue57/mars.html,Bewildering Stories,bewilderingstories.com,The poet recalls the inspiration of the Mars of bygone times.,./scrape/jsonfiles/1/-eI0jL4arYrwDHUnqbSIGUYqkOo.json,TRUE
mCg2iQJcsXhp9Bumz/NpnEIkD9M=,Ship Upon an Unending Ocean,Thomas R,,2003-01-01,,,,,,http://bewilderingstories.com/issue978/unending_ocean.html,Bewildering Stories,bewilderingstories.com,poem,./scrape/jsonfiles/2/4fAgvW31UwewRdFww8mlPIugyaQ.json,TRUE
6JZKQrX/ulHie/PX6s4GvNYFVQA=,Observation Three,Michael E Lloyd,,2003-05-01,,,,,,,Bewildering Stories,bewilderingstories.com,Kristy Toresito ponders how to proceed as the Domans' unhappy U.S. ambassador.,./scrape/jsonfiles/3/1UGKwWFjRYFSwn5pvTVLJOZp7As.json,TRUE
Hwkrs1jTWfglFaRQ/gF9CQZGV9E=,Gaia,Tala Bar,88,2004-01-01,Novel ,,,,,,Bewildering Stories,bewilderingstories.com,Dar is saved from drowning by telepathic cephalopods.,./scrape/jsonfiles/2/OO9pS27TU0eanAeItSUNRq0a3vQ.json,TRUE
dN3tWOTBfOOIbS9lLd7tTW3RdSk=,The Bridge,Katherine Allen,99,2004-01-01,Serial ,,,,,,Bewildering Stories,bewilderingstories.com,The people opt for the Bridge at the last minute.,./scrape/jsonfiles/3/rBrX4v6FUR1itYdtlLMpZqAYd+4.json,TRUE
iIBDAF+jSw4qTXlzNJ/1mm6CpNs=,The Bridge,Karlos Allen,99,2004-01-01,Serial ,,,,,,Bewildering Stories,bewilderingstories.com,The Bridge offers new technology.,./scrape/jsonfiles/1/qmIMyuuSuhaR+fIXlLXqVXjH7XQ.json,TRUE
leoqCfICD5uJ48f0FsaEnEpRtqg=,The Bridge,Euhal Allen,99,2004-01-01,Serial ,,,,,,Bewildering Stories,bewilderingstories.com,The Bridge folk are transported to another planet.,./scrape/jsonfiles/3/uGi8888zvAgehSjuLjOqIbUuaZo.json,TRUE
gmZBOkKP3m2qTW4ICfiNKEE5LBk=,I Got You,Lou Antonelli,104,2004-01-01,Serial ,,,,,,Bewildering Stories,bewilderingstories.com,A mistaken song title tells Travers how alone he really is.,./scrape/jsonfiles/2/tBNMzoYQYS1E+QOE9077oPbSb3c.json,TRUE
a0ETp5BRU33pwOJ2OcqlIoPfeHc=,Fusion Power and Nuclear Weapons,Roger Webb,105,2004-01-01,Article ,fusion power,,,,http://bewilderingstories.com/issue105/fusion_power.html,Bewildering Stories,bewilderingstories.com,Can fusion power be separated from nuclear weapons?,./scrape/jsonfiles/3/ztjOzh5-lpc13Cn1M7Y+eX-3bTY.json,TRUE
QoMd3MfKml4NQUOBdMGNxfGzb2o=,"It Can Play Dead, Too!",Asgrimur Hartmannsson,106,2004-01-01,Short Story ,,,,,,Bewildering Stories,bewilderingstories.com,A toy company produces some distinctly weird dolls.,./scrape/jsonfiles/2/Y+zH-4ubYl1iBwuPBg1Ky6NuVP4.json,TRUE
2Zt+G/vYwFvLm5lGaGEAYORsvAc=,Gnart Moves up in Hell,Michael C Hansen,107,2004-01-01,Short Story ,,,,,http://bewilderingstories.com/issue107/gnart.html,Bewildering Stories,bewilderingstories.com,Gnart interviews for a promotion in Hell.,./scrape/jsonfiles/3/PGjIAAJM68eL6D7ta+8PV0VJ4O0.json,TRUE
E6iZ9lp+oGGhUIwhfIUoj+A/is8=,"Two Days in the Life of Alex Lavrov, an Average Russian",Viacheslav Iatsko,107,2004-01-01,Short Story ,Soviet Union,,,,,Bewildering Stories,bewilderingstories.com,Daily life in the Soviet Union and after.,./scrape/jsonfiles/2/OnKdzbHmlrv+TfmhZgYVQwN5kZQ.json,TRUE
UfFXx/A02nbTULYpXQQKJ6V1dHc=,The Engines of Manta-Geth,Kenneth Mark Hoover,107,2004-01-01,Serial ,,,,,http://bewilderingstories.com/issue107/manta_geth1.html,Bewildering Stories,bewilderingstories.com,A rebellious servant seeks adventure: the death machines of Manta-Geth.,./scrape/jsonfiles/1/2YDcwfOl407bbFLoYO0pdCBkAjE.json,TRUE
1piFnZVGcD8ceBfrRnjhc1y21mM=,Devil’s Playground,Gillian Marshall,110,2004-01-01,Poetry ,,,,,,Bewildering Stories,bewilderingstories.com,Prose poem,./scrape/jsonfiles/3/8jN-3CriTW8WIc7gXV75XjV0r0c.json,TRUE
PT24w+Z6eCQFFh0L/kFG8t4kb+8=,Eaten by the Overlords,Michael C Hansen,110,2004-01-01,Short Story ,,,,,http://bewilderingstories.com/issue110/gnart_eaten.html,Bewildering Stories,bewilderingstories.com,Gnart finds out that all is not right in Hell.,./scrape/jsonfiles/3/MaXnRa6luf52O02Ti2WzsHj17jw.json,TRUE
YytAGZzfDf6JRTwtonPCvqhKvPg=,If Ants Were Blue,Euhal Allen,110,2004-01-01,Poetry ,,,,,http://bewilderingstories.com/issue110/blue_ants.html,Bewildering Stories,bewilderingstories.com,"If ants were blue, so might chocolate be.",./scrape/jsonfiles/1/1Wq6bDs1IbXnYyc6VFPeakBmSV4.json,TRUE
+cYO7zOCWYH+/lscLebC0eihBYY=,The Blue Balloons,Adriana Alarco de Zadra,112,2004-01-01,Short Story ,"rejuvenation, amnesia",,,,,Bewildering Stories,bewilderingstories.com,"Rejuvenation is exhilarating, but it comes at a price.",./scrape/jsonfiles/3/wgT1B96Qi2JOKOTIzoXN0eHxNNA.json,TRUE
0pTu+puxwiLhwIyXpfdITenixZM=,Welles and Borges: Two Dreams,Steven Utley,112,2004-01-01,Essay ,,,,,,Bewildering Stories,bewilderingstories.com,Steven Utley recounts dreams about Orson Welles and Jorge Luis Borges,./scrape/jsonfiles/1/acxbrVs+7ZwJ2c6678sitg6dm9M.json,TRUE
sbc3RVPGQd5jERUvB/l4+ba4e94=,The Hermit,Fermin Moreno Gonzalez,112,2004-01-01,Poetry ,,,,,http://bewilderingstories.com/issue112/hermit.html,Bewildering Stories,bewilderingstories.com,Poem: a hermit performs empty rituals over dusty scrolls.,./scrape/jsonfiles/1/HeT0ay2KCUxKGC9M7KLmoqwxVqg.json,TRUE
t+/Zz78ZOpac1IojmjURqX06Gvk=,Hector’s Walk,Paul Cronin,112,2004-01-01,Short Story ,,,,,,Bewildering Stories,bewilderingstories.com,Pedestrians must battle mutant animals in the big city.,./scrape/jsonfiles/1/ChT1Xf0EmPnRZASFnRz8VUPtKKM.json,TRUE
xtAV3s4HQmyrPJiUXzy4vwPKXZA=,Sins of Our Fathers,A R Yngve,113,2004-01-01,Short Story ,"abortion, birth control, misogyny",,,,http://bewilderingstories.com/issue113/sins_fathers.html,Bewildering Stories,bewilderingstories.com,Prenatal selection for males causes a demographic collapse and family strife in India.,./scrape/jsonfiles/2/nSGiqLpk1iUCO0WSzE1uz4VGFLQ.json,TRUE
0HTmN5SC8BvJVsmO+EhKxly38Q0=,They Also Serve,Michael Murry,114,2004-01-01,Poetry ,anti-war,,,,http://bewilderingstories.com/issue114/also_serve.html,Bewildering Stories,bewilderingstories.com,The soldiers' plight in modern war.,./scrape/jsonfiles/2/vhfJv+EoTY175g3yGO+anC17by8.json,TRUE
erMnOeAymDab2MSXf7sMDSECxF0=,I Dream of Oceans,Roberto Sanhueza,114,2004-01-01,Poetry ,,,,,http://bewilderingstories.com/issue114/dream_oceans.html,Bewildering Stories,bewilderingstories.com,A vampire dreams as he is tucked in at day.,./scrape/jsonfiles/3/SOQIqOjONKYj3bfuvVBHFr3CdPc.json,TRUE
mm2jQ0LuW2Fzp82KOfz0ZoSv0Yw=,The Last Oil Well,Thomas Lee Joseph Smith,114,2004-01-01,Short Story ,oil,,,,http://bewilderingstories.com/issue114/last_oilwell.html,Bewildering Stories,bewilderingstories.com,"The last oil well becomes a goose that laid golden eggs, for a while.",./scrape/jsonfiles/2/e3sF0+DBx0AjrGDkBv9W2YdIz0Y.json,TRUE
T7DbvGBGkF/tp+1N8YhlO9H9Fmo=,"Mars, One Each",Steven Francis Murphy,114,2004-01-01,Poetry ,Mars,,,,http://bewilderingstories.com/issue114/mars_one.html,Bewildering Stories,bewilderingstories.com,Mars poem,./scrape/jsonfiles/3/xzR2lpWQGyofZtgnoAAEXwLh6Hs.json,TRUE
cRlwIPzc2vhCCHXZzNJGRAgC/H4=,Roxanne,Joel Gn,115,2004-01-01,Serial ,,,,,,Bewildering Stories,bewilderingstories.com,,./scrape/jsonfiles/3/xhLPTJKSfmDzpCHgAaq6oapVI1A.json,TRUE
DEunT081B3uYsZk+dKqCkeD3Scw=,Dragon’s Teeth,Michael Murry,115,2004-01-01,Poetry ,war profiteering,,,,,Bewildering Stories,bewilderingstories.com,Mercenaries and profiteers play a part in war along with recruits and volunteers.,./scrape/jsonfiles/3/ETUovKRDE6mZ8S+Yra--Q-s90rA.json,TRUE
ALocgWrY5vSCHv4t3X3dGh4+Ahc=,Parchment,Byron Bailey,116,2004-01-01,Flash Fiction ,"biological warfare, nanotech",,,,http://bewilderingstories.com/issue116/parchment.html,Bewildering Stories,bewilderingstories.com,A biological assault on Earth fails.,./scrape/jsonfiles/2/YlqZaL1hQee2BCq+kKegHYT1ETw.json,TRUE
Tq+E/pPuqicC9SC8B6ylqjp6Xl4=,Bread and Circuses,Michael Murry,116,2004-01-01,Poetry ,anti-war,,,,http://bewilderingstories.com/issue116/bread_circuses.html,Bewildering Stories,bewilderingstories.com,An anti-war poem in Gaelic bardic verse.,./scrape/jsonfiles/2/oJ3IUjoFhVyXi9j3lt5Hbj0XAsM.json,TRUE
zeKRUpMurJlztMVG7ujS0p1DYQ4=,Thirteen,Nick Padron,117,2004-01-01,Short Story ,lottery,,,,http://bewilderingstories.com/issue117/thirteen.html,Bewildering Stories,bewilderingstories.com,A lottery vendor is all sold out of number 13.,./scrape/jsonfiles/3/FJFagoRSCVcIVDwQcRmGMGUPj0M.json,TRUE
QH34RsyTtm5bRvhAjjTr+uUan8U=,Everymutt versus Bilbo,Byron Bailey,118,2004-01-01,Article ,childrens literature,,,,http://bewilderingstories.com/issue118/everymutt.html,Bewildering Stories,bewilderingstories.com,A child reads for imaginative content.,./scrape/jsonfiles/1/FRWKQZ3Wc+2RbDAr6z-9YdiwOnU.json,TRUE
WkCITWwf1SUU1PAZbrCsxZeWvHY=,Ratburgers,Rick Badman,118,2004-01-01,Short Story ,hamburgers,,,,http://bewilderingstories.com/issue118/ratburgers.html,Bewildering Stories,bewilderingstories.com,A food inspector dines at the top of an interdimensional food chain.,./scrape/jsonfiles/2/N-ma2O+MbsGL62RJy33kzXgYkto.json,TRUE
WMmdV5D/zj1u4P/s8rwBM8K/v5A=,The Darker Side of Writing,Rick Combs,118,2004-01-01,Article ,,,,,http://bewilderingstories.com/issue118/combs_writing.html,Bewildering Stories,bewilderingstories.com,Rick discovers Critters and the joy of writing.,./scrape/jsonfiles/3/XiPS6yChuCgZite6obktPEWwgi4.json,TRUE
Lu7kM/KMQIUWCbnZlwHbUADogVA=,A Pink Shadow,Byron Bailey,119,2004-01-01,Short Story ,,,,,http://bewilderingstories.com/issue119/pink_shadow.html,Bewildering Stories,bewilderingstories.com,A dinosaur is done in by humanity's terrorist cooties.,./scrape/jsonfiles/2/Re0KiKjbYIzrwt7n1uKMtUMS9XE.json,TRUE
nOlMSEhG0FvcP8EIMydSFgkVfVY=,Necklace,Byron Bailey,120,2004-01-01,Flash Fiction ,,,,,http://bewilderingstories.com/issue120/necklace.html,Bewildering Stories,bewilderingstories.com,An insect gets a necklace from a godlike lover.,./scrape/jsonfiles/1/YJALOnSvTWSVqXSGOosr9RSF5MM.json,TRUE
xITA7A2su5m7HggNsOi5iF2bLkQ=,Bogey Man,Roberto Sanhueza,120,2004-01-01,Short Story ,,,,,http://bewilderingstories.com/issue120/bogey_man.html,Bewildering Stories,bewilderingstories.com,A simulated Bogey gets into real trouble at a simulation of Rick's Cafe Americain.,./scrape/jsonfiles/2/t5Qbx9LMwQO2Xfs6medTiE-qk8Y.json,TRUE
dNb+NGy4PNSUtZEDbXAnvkMKYYo=,Hoosier Steaks,Byron Bailey,121,2004-01-01,Serial ,,,,,,Bewildering Stories,bewilderingstories.com,Thomas Sutton has varmints in his steak field and a gripe against just about everything.,./scrape/jsonfiles/1/mgYZMECkO+ryZqOiw0oJnaOl150.json,TRUE
Q++fh0jJTioEBU6ZJOIypwEpT/M=,"Lies, Damned Eyes, and Statistics",Michael Murry,123,2004-01-01,Poetry ,Fallujah,,,,http://bewilderingstories.com/issue123/lies_eyes.html,Bewildering Stories,bewilderingstories.com,Fallujah causes a Vietnam veteran to curse the man who sent him.,./scrape/jsonfiles/1/XLSEDAIvIMNcTc5o0byhNHG1+m8.json,TRUE
TOo0Jy1lBH6tDZ6eBNngjptoi1E=,Ebb and Flow,Michael Murry,123,2004-01-01,Poetry ,Fallujah,,,,http://bewilderingstories.com/issue123/ebb_flow.html,Bewildering Stories,bewilderingstories.com,Fallujah causes a Vietnam veteran to experience a flashback.,./scrape/jsonfiles/3/3DrVF3Prm2knqajopRRJo3SRtlc.json,TRUE
Gyp3NXJPmrsJu93Lx29D5BfsXTA=,Cell Division,Hungry Guy,124,2004-01-01,Flash Fiction ,asexual reproduction,,,,http://bewilderingstories.com/issue124/cell_division.html,Bewildering Stories,bewilderingstories.com,"If this is what asexual reproduction is like, what is... never mind.",./scrape/jsonfiles/1/0Nfm-FA9uJe9FVMlquj3egqmEWQ.json,TRUE
jNsXAsr+ZiJN5cU97mqFZQUOnOM=,Into the Burbs,Sean Hower,124,2004-01-01,Short Story ,suburbia,,,,http://bewilderingstories.com/issue124/burbs1.html,Bewildering Stories,bewilderingstories.com,Three friends go to Dante's for a drink and wind up going to Hell.,./scrape/jsonfiles/1/OEDPna+E0tgdoh+Gl6TMGpIxwCc.json,TRUE
loQseaWKOZ5HfvR61pa7f6dmvzQ=,The Sum of Our Lives,Jörn Grote,124,2004-01-01,Short Story ,diplomacy,,,,,Bewildering Stories,bewilderingstories.com,A star-yearning old man meets a familiar-looking visitor from another world.,./scrape/jsonfiles/3/gk8gR7y63447EVCBnj4pyg5KlMk.json,TRUE
q7S92411Zx/e8ieTrJTjYgIE4zE=,"A Wild, Ill-Tempered, Bowlegged Woman",Delo White,124,2004-01-01,Serial ,,,,,,Bewildering Stories,bewilderingstories.com,A dyslexic pop musician meets Anna Phleugerhosen.,./scrape/jsonfiles/3/Xg5FqdL0N0uF4IsJt61ZsCKZEPw.json,TRUE
TfwEd5QRiv9CLYJ7gKKgAg8Qvcg=,Baal Hammon Ponders the Third Punic War,Byron Bailey,124,2004-01-01,Flash Fiction ,,,,,http://bewilderingstories.com/issue124/baal_hammon.html,Bewildering Stories,bewilderingstories.com,An ancient god has his gripes.,./scrape/jsonfiles/1/F1uMBQORZwz+iqBKn5Wo547jCWI.json,TRUE
r3y+NoXe+ASk+1dSm8fsEeb1GAA=,"Home, to the Sea",Jörn Grote,125,2004-01-01,Short Story ,,,,,http://bewilderingstories.com/issue125/home_sea.html,Bewildering Stories,bewilderingstories.com,An injured interstellar astronaut is rescued by a very unlikely fellow space-traveler.,./scrape/jsonfiles/3/F1ThBqmx9zzT5IjjZWqlLx1smJw.json,TRUE
r3y+NoXe+ASk+1dSm8fsEeb1GAA=,"Home, to the Sea",Jörn Grote,125,2004-01-01,Short Story ,,,,,http://bewilderingstories.com/issue601/home_sea.html,Bewildering Stories,bewilderingstories.com,An injured interstellar astronaut is rescued by a very unlikely fellow space-traveler.,./scrape/jsonfiles/3/F1ThBqmx9zzT5IjjZWqlLx1smJw.json,TRUE
Z2SG4HWDqRlcOzfAGFkrZjHl1LE=,"Home, to the Sea",Jörn Grote,125,2004-01-01,Short Story ,,,,,http://bewilderingstories.com/issue125/home_sea.html,Bewildering Stories,bewilderingstories.com,An injured interstellar astronaut is rescued by a very unlikely fellow space-traveler.,./scrape/jsonfiles/3/H5-eX0v5F-T31nQDyyvyUr40D5o.json,TRUE
Z2SG4HWDqRlcOzfAGFkrZjHl1LE=,"Home, to the Sea",Jörn Grote,125,2004-01-01,Short Story ,,,,,http://bewilderingstories.com/issue601/home_sea.html,Bewildering Stories,bewilderingstories.com,An injured interstellar astronaut is rescued by a very unlikely fellow space-traveler.,./scrape/jsonfiles/3/H5-eX0v5F-T31nQDyyvyUr40D5o.json,TRUE
jKjQMdbZJBHYhlrATp2RDgtMKdg=,Cain,Julian Lawler,126,2004-01-01,Poetry ,,,,,http://bewilderingstories.com/issue126/cain.html,Bewildering Stories,bewilderingstories.com,Poem by Julian Lawler,./scrape/jsonfiles/1/cQ9MayhQe2f8Q56aQ4VvxItWXBk.json,TRUE
EOmGz4VkNLQbMvcGRVs0Pj4dgiE=,And the Truth Shall Set You Free,Bob Sorensen,127,2004-01-01,Serial ,computer engineering,,,,http://bewilderingstories.com/issue127/truth_free1.html,Bewildering Stories,bewilderingstories.com,A truth bug begins to infect e-mail.,./scrape/jsonfiles/2/+rFSbDxUZaFTh2KgQuwqQ2JoMIU.json,TRUE
3qT7LKp9zIkTNe43X7FJ8G66OIw=,Advent Now,Robert Payette,128,2004-01-01,Short Story ,Advent,,,,http://bewilderingstories.com/issue128/advent_now.html,Bewildering Stories,bewilderingstories.com,"Out of the comfortable pew, a Resurrection.",./scrape/jsonfiles/3/YgSDQZ5-TncKLcM4-BDvrb3kdg8.json,TRUE
95/x5njqHpdowzw9BYCaF0fBlbc=,Cry Me Not,Roberto Sanhueza,130,2004-01-01,Poetry ,,,,,http://bewilderingstories.com/issue130/cry_not.html,Bewildering Stories,bewilderingstories.com,A lost love is wept from both sides of a window.,./scrape/jsonfiles/2/c9Q750W6TXCBMkExN8xb5udRORs.json,TRUE
EbrfMt8eVfY2vt5deiimOTxP83w=,Miracle Baby,Laurie Seidler,130,2004-01-01,Flash Fiction ,birth defects,,,,http://bewilderingstories.com/issue130/miracle_baby.html,Bewildering Stories,bewilderingstories.com,Want a miracle? Just go out to the kitchen and have a drink while the healer does her work.,./scrape/jsonfiles/2/UMC2oJjqnH8hqn8eTWG66zqGp+I.json,TRUE
KC5RycWe7y5sSI3Tzyx+TFXtNYQ=,You’ll Get Radiation Damage,Ian Donnell Arbuckle,130,2004-01-01,Poetry ,,,,,,Bewildering Stories,bewilderingstories.com,The dire fate of keyboardists.,./scrape/jsonfiles/3/V3shSDRI5hKIBTjHvS2+15WZ+sI.json,TRUE
tlsTHauY0hecdR56NL0Atl3DrqA=,Tortoises or Turquoises,Ian Donnell Arbuckle,136,2004-01-01,Poetry ,,,,,http://bewilderingstories.com/issue136/tortoises.html,Bewildering Stories,bewilderingstories.com,,./scrape/jsonfiles/3/LmUvX6wjYTffv0pN2-uWBGN4I+o.json,TRUE
evM1ftja+rnjtbI7gvrMO79ocpM=,Memories Beyond the Sunset,Carmen Ruggero,199,2004-01-01,Poetry ,,,,,,Bewildering Stories,bewilderingstories.com,poem,./scrape/jsonfiles/2/YmV2GY01UqK2m0stVYwetez+iJo.json,TRUE
zh98Slq2rd36ryPISConsopWBCQ=,Collecting Stones from a Beach,Dan McNeil,392,2004-01-01,Flash Fiction ,,,,,http://bewilderingstories.com/issue392/collecting_stones.html,Bewildering Stories,bewilderingstories.com,"How stones, faeces and nuclear power form the bedrock of human accomplishment",./scrape/jsonfiles/1/JaWVng2dWSvU3ypE3l3SiEF1L74.json,TRUE
DEunT081B3uYsZk+dKqCkeD3Scw=,Dragon’s Teeth,Michael Murry,727,2004-01-01,Art ,war profiteering,,,,,Bewildering Stories,bewilderingstories.com,Mercenaries and profiteers play a part in war along with recruits and volunteers.,./scrape/jsonfiles/3/ETUovKRDE6mZ8S+Yra--Q-s90rA.json,TRUE
/NSW07xUt0PYqPJiDiQRQaf/L58=,Bewildering Stories Editorial,Don Webb,,2004-01-01,,,,,,,Bewildering Stories,bewilderingstories.com,"Bewildering Stories news, issue #102",./scrape/jsonfiles/3/Es3psQmX57AeDBUBoy45o0gszUI.json,TRUE
