fingerprint,title,author,date,categories,tags,id,license,comments,source,hostname,source-hostname,excerpt,filename,has_text
y4ntvbRTmOuagbdLtT0ZM42n3w8=,Joshua Told the Children to Shout,Amanda Baldeneaux,2022-07-01,,,,,,https://www.bourbonpenn.com/issue/27/joshua-told-the-children-to-shout-by-amanda-baldeneaux,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/jPQtnKd37p8ajJqJ5tR0-vK4U-w.json,TRUE
/3LbKHXtrUaq1/icFrG1hUGObwQ=,Blue,Amy Parker,2017-04-01,,,,,,https://www.bourbonpenn.com/issue/13/blue-by-amy-parker,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/nATZcUdb6qWCA3BggqJ1vV4Tl2A.json,TRUE
gfC3xXEIk96Q2U58r5PsM2ehBeo=,Extreme Medicine,Linda Peer,2013-01-01,,,,,,https://www.bourbonpenn.com/issue/6/extreme-medicine-by-linda-peer,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/WAAx1b7Wxi3QtnF-qIJqI74ZnhU.json,TRUE
QoyzFCDUCdC79OAEsGro2wrWyIs=,That House,Simon Strantzas,2021-11-24,,,,,,https://www.bourbonpenn.com/issue/25/that-house-by-simon-strantzas,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/mwFfXZL5Bl-tHagC6+9FyL-xdI0.json,TRUE
Wr+vWD0wYcvvsGYDOh2j7ubKj+Y=,Sounds Like Forever,Josh Rountree,2022-07-01,,,,,,https://www.bourbonpenn.com/issue/27/sounds-like-forever-by-josh-rountree,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/333pvqvpYAEPPeG1t4irmn9iwZw.json,TRUE
wJe6NhURAY5fj1pNUVqUiWFb6aI=,When You Stop Seeing Ghosts,Sam Rebelein,2021-07-20,,,,,,https://www.bourbonpenn.com/issue/24/when-you-stop-seeing-ghosts-by-sam-rebelein,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/fOuocaleJHp5IuZuOqrbUHo1UOk.json,TRUE
8gwtXs39oiKXvuqbxtX+muVIRRU=,Song for the Unravelling of the World,Brian Evenson,2018-03-01,,,,,,https://www.bourbonpenn.com/issue/15/song-for-the-unravelling-of-the-world-by-brian-evenson,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/WrHdo-aOziAy+BK3R1DcH4z5-mo.json,TRUE
pv1ztA0MVoLG97XKbbLSNknOnWw=,Further Findings on the Cults Surrounding Gerald White's Chair,Wyatt Robinette,2013-11-01,,,,,,https://www.bourbonpenn.com/issue/8/gerald-whites-chair-by-wyatt-robinette,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/1Svl9xY-lDOyCqIRMCBTXfRrPu4.json,TRUE
hcgtzJ8bcPj+s7l927Q5zbGyvcI=,The Old Ones of the DMV,Chloe Smith,2023-03-01,,,,,,https://www.bourbonpenn.com/issue/29/the-old-ones-of-the-dmv-by-chloe-smith,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/IrgLvUn7+vRWjFrt6DVfd9RqnRE.json,TRUE
/qdZvlGAAnjLylbvLy0d4zCYSRI=,Cylinder,Joseph Auslander Jr.,2011-02-01,,,,,,https://www.bourbonpenn.com/issue/1/cylinder-by-joseph-auslander-jr,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/cDp76edvZoYejKg8YMLtSO+qXSw.json,TRUE
x3/McSPeUl2d+oZla+0jjYZb8Po=,The Rainbow Gun,H. Andrew Lynch,2015-03-01,,,,,,https://www.bourbonpenn.com/issue/10/the-rainbow-gun-by-h-andrew-lynch,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/ULde5YJ5QjpdMyxuBDanaMlIcmA.json,TRUE
i2biJOzqVEYWc7jQgiQhFSLmX40=,Consumer Testing,John Greenwood,2013-05-01,,,,,,https://www.bourbonpenn.com/issue/7/consumer-testing-by-john-greenwood,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/3reji9vMNsg4Tq15S43i4EwzYNo.json,TRUE
