fingerprint,title,author,issue,date,date,categories,tags,id,license,comments,url,source,source-hostname,hostname,excerpt,filename,has_text
QM5GjYTY64aYXfIsyMHpUVigt1o=,The Music of the Spheres,B R Sanders,7,May 2017,2017-12-07,,,,,,http://www.capricioussf.org/the-music-of-the-spheres/,https://web.archive.org/web/20181007190951/http://www.capricioussf.org/the-music-of-the-spheres/,Capricious SF,capricioussf.org,"by B R Sanders The planet came alive when Wren played her flute. She felt the scrubby grass pulse in rhythm with her song. There was a tightness in the air, a sense of expectation. Polyphemus was a...",./scrape/jsonfiles/i6ZnX2h1pRHOnMMAHDCaCDk9xDs.json,TRUE
0AQ0GwKW9hCPXRYcttSK9I0XurI=,Sandals Full of Rainwater,A.E. Prevost,9,January 2018,2015-12-15,,,,,,http://www.capricioussf.org/sandals-full-of-rainwater/,https://web.archive.org/web/20200210170133/http://www.capricioussf.org/sandals-full-of-rainwater/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/wGviI0I1lwdP-i6pFX92JSYfkNg.json,TRUE
siQ7BRIOQQ6jeaGwC6rsxZ4O9EI=,The Night Golem,Derrick Boden,8,December 2017,2015-12-15,,,,,,http://www.capricioussf.org/the-night-golem/,https://web.archive.org/web/20200210060346/http://www.capricioussf.org/the-night-golem/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/wyXFjb0WSzSZDuwmqD8ZyYt5aTI.json,TRUE
BmaZwWaeCHe3v/Is80RH+xOzRDs=,Hymn for a Slow Fire,Natalie Ritter,10,September 2018,2015-12-15,,,,,,http://www.capricioussf.org/hymn-for-a-slow-fire/,https://web.archive.org/web/20200210060050/http://www.capricioussf.org/hymn-for-a-slow-fire/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/vBd4Ks97J1c1knm6ltemIjYxh28.json,TRUE
KTPJAkmgQKB8nChNEw/0y/WkF/U=,Blush,B Morris Allen,7,May 2017,2017-12-07,,,,,,http://www.capricioussf.org/blush/,https://web.archive.org/web/20181007190942/http://www.capricioussf.org/blush/,Capricious SF,capricioussf.org,"by B Morris Allen I’ve been down in the heart of Wrinkletown, stood in the Blemish itself, with unmasked people as far as the eye can see. You get used to it. Eventually, you realize that wrinklies...",./scrape/jsonfiles/rnx143eJWrH5GO6YWah7NouAK-o.json,TRUE
MufvTnZPhtscQnciTQNQqApBCZo=,Birdbrain,Phoebe Reeves-Murray,8,December 2017,2015-12-15,,,,,,http://www.capricioussf.org/birdbrain/,https://web.archive.org/web/20200210053649/http://www.capricioussf.org/birdbrain/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/3Wv5m0zBh9kptZBoM5DnaCnJxZU.json,TRUE
U3hZEOOgVVHpYWzZr1SdcXP7rLI=,The Retired Angel of Death,Jamie Lackey,4,July 2016,2015-05-01,,,,,,http://www.capricioussf.org/the-retired-angel-of-death/,https://web.archive.org/web/20161102125933/http://www.capricioussf.org/the-retired-angel-of-death/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/vX36L8X08AloYeot9E+PKFk-spw.json,TRUE
28uR8QJa+QiJfSbd41jM1V4Ub5s=,Adentro,H. Pueyo,10,September 2018,2015-12-15,,,,,,http://www.capricioussf.org/adentro/,https://web.archive.org/web/20200210010522/http://www.capricioussf.org/adentro/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/9e5CHirn7Pj-tOVfZ0JOlBerp1w.json,TRUE
kevZvqNJTxaaNYlXuCq2m+VIQaQ=,"Bone Length, Wavelength",Octavia Cade,2,December 2015,2015-05-01,,,,,,http://www.capricioussf.org/bone-length-wavelength/,https://web.archive.org/web/20191209070102/http://www.capricioussf.org/bone-length-wavelength/,Capricious SF,capricioussf.org,,./scrape/jsonfiles/h4JTjVeHBKPZ-YU23jtvtbQJfwA.json,TRUE
67K+EYqUhPhU2+0KnvhGUgkR/q4=,Firstborn,Maria Haskins,7,May 2017,2017-12-07,,,,,,http://www.capricioussf.org/firstborn/,https://web.archive.org/web/20181007190954/http://www.capricioussf.org/firstborn/,Capricious SF,capricioussf.org,"by Maria Haskins Ben isn’t in his crib when I wake up. I find his pyjamas and diaper beneath the rumpled blanket. The apartment is cold, the balcony door ajar. It’s a soggy December night out there...",./scrape/jsonfiles/E3yJ1ki8gf-d+d7v29fpBWgg0Qg.json,TRUE
