fingerprint,title,author,hostname,date,categories,tags,id,license,comments,source,source-hostname,excerpt,filename,has_text
o6e2u2/OyfxuDA6dwKcb4jnm4Uw=,News From Our Writers,,,2001-01-01,,,,,,,,,./scrape/jsonfiles/7xsR3Xftrf7PtOkJ4M1yjaRXqAE.json,True
EJ1tMt33Ky4wKHlFnAmGkZBPSmI=,"“And then the Boogy Joogy said to the quantum force, How’s ya Mama",,,,,,,,,,,,./scrape/jsonfiles/5dBawNAQ+KfBmmKYmUFyoFsKFzk.json,True
82DMVTS4V1ZiHmJ+g4xHlNwzpfs=,FADING AWAY INTO THE MIST,,,,,,,,,,,,./scrape/jsonfiles/a1GxyylDT1acjMrRLxMHsyTrdfI.json,True
MBjSXAVADkMfqKulrNA3rXKqWmY=,News From Our Writers,,,,,,,,,,,,./scrape/jsonfiles/iqluy3ROmTxRZ-F2ZEVYqB55RQo.json,True
UVZdGHG6tN7FijPxOMrLacTBxck=,“For the Future”,,,,,,,,,,,,./scrape/jsonfiles/GGxOJT2DjQBPtIUKomfPdk1FhjM.json,True
PoM+//hocbxPrjGdVv4J/6L+K+k=,Dreams like these will swear you off illicit substances…,,,,,,,,,,,,./scrape/jsonfiles/d-r7fGXqpI3PikPe5ORDwm-7dgc.json,True
BtS5vKLXjXejPvGcZ1IeRqibFFM=,The Language of Life,,,2006-03-30,,,,,,,,,./scrape/jsonfiles/cFQAqpheqytJbmjNY-v3oXzPeik.json,True
+YP0gBgWzjSSKUkWMLFtrChhPtc=,Too Many Minds Spoil the Body,,,,,,,,,,,,./scrape/jsonfiles/44GqoW3BVl8GIYJk0DEN8eR5NOk.json,True
qMkKcIlphC3sUX8fye20IJgy/lE=,War Is Hell,,,,,,,,,,,,./scrape/jsonfiles/dobhB+oP1-lO6+zK3guX8aSaWsA.json,True
2y9MHL0QKMHkk+i7Lw2pTiZBkJk=,Through the Lattice,,,,,,,,,,,,./scrape/jsonfiles/U0PDLtpkQmJFK5YDmKLnmxQ8VjU.json,True
eWZE8ZvhhW5gO15XOkM1zRm5MWo=,,,,2000-01-01,,,,,,,,,./scrape/jsonfiles/XCPo0dKPisygICSTEbBLKFjwu7M.json,True
p6gvEyAdDtfgxkIqScK/ZFozdHs=,Faster than the Wind,,,,,,,,,,,,./scrape/jsonfiles/JlFDyc-2mbgtC8cE+vV6DDQYI6Y.json,True
PZLd8T2EQYq4afBgoVZbXyH5QSw=,JACK,,,,,,,,,,,,./scrape/jsonfiles/L3TSF-OoZJDWQPgHVL5SvvOK6OU.json,True
tDKG+GrcSJq59euSgL5oAbuHMpg=,The Best Perseids Ever,,,,,,,,,,,,./scrape/jsonfiles/BcKQvRjtcTk3l0e0ljmPvKuHtKo.json,True
FTS3JFa4XStrAjV+LHqUaQ8WTXc=,Way Out Here,,,,,,,,,,,,./scrape/jsonfiles/AsSB9K3TW-JavtR19ocVYIIkjCQ.json,True
ggvURfTzoeVmWH5d3epA02VWseA=,Lida Broadhurst First No,,,,,,,,,,,,./scrape/jsonfiles/QAnypMX5ROMED6XHAv-sFayVMOU.json,True
dS4k7AFjP5wlLBfMLoio/yhcyWM=,,,,,,,,,,,,,./scrape/jsonfiles/6rWqHYPlYhsLSqwYViC2qRwZsZU.json,True
RqFwrcR9XY9+QT7Q+wDD/x2VtFU=,"Beer, beer, beer, wine and beer",,,,,,,,,,,,./scrape/jsonfiles/75KcaUIxMAqEo4k3j6czI8t5lL8.json,True
nWN9PgMx2lY1XazXXIzStYNUp6A=,Bruce Boston,,,,,,,,,,,,./scrape/jsonfiles/4Y1mYI4fmogmcaN2kN4o29Bn02A.json,True
