fingerprint,title,author,date,source,source-hostname,hostname
AIIZGz2/wU9mFu8wIsVZ9YWTHWU=,Have Not Have,Geoff Ryman,2023-01-01,https://clarkesworldmagazine.com/ryman_06_14_reprint/,Clarkesworld Magazine,clarkesworldmagazine.com
S5o7E0U97anmTY/+VHEnnI5o2W4=,Intro to Prom,Genevieve Valentine,2023-01-01,https://clarkesworldmagazine.com/valentine_10_17/,Clarkesworld Magazine,clarkesworldmagazine.com
iRusfgy2RbSqjShLaVWJQ21sh4E=,Some Remarks on the Reproductive Strategy of the Common Octopus,Bogi Takács,2023-01-01,https://clarkesworldmagazine.com/takacs_04_17/,Clarkesworld Magazine,clarkesworldmagazine.com
qaIXpu2j4owwo+0wbLbSl9UPo1Y=,From the Lost Diary of TreeFrog7,Nnedi Okorafor,2023-01-01,https://clarkesworldmagazine.com/okorafor_05_09/,Clarkesworld Magazine,clarkesworldmagazine.com
4s6mP2WW8KLPYLOrk+nmhYFAeXA=,The Cold Calculations,Aimee Ogden,2023-01-01,https://clarkesworldmagazine.com/ogden_12_21/,Clarkesworld Magazine,clarkesworldmagazine.com
AAIc+Dfyn4jJW6X0TYMbVyKwWuU=,The Old Moon,John McNeil,2023-01-01,https://clarkesworldmagazine.com/mcneil_02_22/,Clarkesworld Magazine,clarkesworldmagazine.com
djTzHPgC4uzbPh2RvVuEW+qZaVk=,Lost and Found,M L Clark,2023-01-01,https://clarkesworldmagazine.com/clark_10_22/,Clarkesworld Magazine,clarkesworldmagazine.com
eB3nu4kDuOpgFRpTxVu8MwSqz3Y=,The Uncurling of Samsara,Koji A Dae,2023-01-01,https://clarkesworldmagazine.com/dae_01_22/,Clarkesworld Magazine,clarkesworldmagazine.com
mX0veq1aGV81z+CfGBFOKDyItw8=,Sunlight Society,Margaret Ronald,2023-01-01,https://clarkesworldmagazine.com/ronald_03_12/,Clarkesworld Magazine,clarkesworldmagazine.com
0ggHfeaq549w6pUntUnxKMtQsyM=,"One Last, Great Adventure",Ellen Kushner; Ysabeau S Wilce,2023-01-01,https://clarkesworldmagazine.com/kushner-wilce_11_15_reprint/,Clarkesworld Magazine,clarkesworldmagazine.com
