fingerprint,title,author,volume,issue,date,categories,tags,id,license,comments,source,hostname,source-hostname,excerpt,filename,has_text
dJ0KklA3S+5rsXgmTH7T+aPP9gk=,Exile,Eric Holmquist,F4,1,1986-02-07,,,,,,http://dargonzine.org/exile/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/4Qw6px49ZV+VG+Dlbc2FHTsCT0w.json,TRUE
UjVwX/XViIl9vGzxUxOTSR1zoIM=,Rendezvous,Joseph Curwen,F4,1,1986-02-07,,,,,,http://dargonzine.org/rendezvous/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/lC9362Cxk1QtZVYwJ8kAuYs88Kw.json,TRUE
VMrd2sOliLdF8lHu+a0upmI3JkY=,Simon’s Song,Ornoth,F4,1,1986-02-07,,,,,,http://dargonzine.org/simons-song/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/+xiG4I1EGdtsJvuaDU+n5HP1lmU.json,TRUE
LUdJ9Luw7iEeSBUl3xmi8Ds6dGk=,Welcome to Dargon,Ornoth,F4,1,1986-02-07,,,,,,http://dargonzine.org/welcome-to-dargon/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/2pYjyYmVGs5U0cB-sRZPiM2XiDE.json,TRUE
RZLYGKAyjnE8Qp8Scc9jxVw7AaY=,Deep Trouble,Jim Owens,F4,2,1986-03-02,,,,,,http://dargonzine.org/deep-trouble/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/c-BcCo8v4RjZzm0+b3ct63hbzs4.json,TRUE
J3EvqsAAe8cDciKwlCzG8ZJbukY=,The Essence of Ur-Baal,Roman Olynyk,F4,2,1986-03-02,,,,,,http://dargonzine.org/the-essence-of-ur-baal/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/Jgt3EK9SCvsR4Rm03FdbsKO+8u8.json,TRUE
un3TzTwz29CeizxtXBRX3W4A9CA=,Dawn Watch,Jim Owens,F4,3,1986-04-20,,,,,,http://dargonzine.org/dawn-watch/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/EYsbxyKh80-DYYn31usA6d2c1Y4.json,TRUE
TPn9GNP65nHwugXdo9wGcd6XVok=,Dreamer’s Holiday,Joseph Curwen,F4,3,1986-04-20,,,,,,http://dargonzine.org/dreamers-holiday/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/03xSgLHkGoWTBTpFAC5EpHOupIs.json,TRUE
IWA4JqvN+HayYpvOPivMz3lZ3jI=,Spirit of the Wood Part 1,Rich Jervis,F4,3,1986-04-20,,,,,,http://dargonzine.org/spirit-of-the-wood-part-1/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/OOv+YQ-6c5j1Xfbsbut3yvWwDcg.json,TRUE
wuZqlrlfP5OEyBGijOkdNzXG9Bo=,The Awakening,Ornoth,F4,3,1986-04-20,,,,,,http://dargonzine.org/the-awakening/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/dHVHiy0z0mrW9KN8V07sjMCuKMU.json,TRUE
mgaV5ksl2mt1Fm5A7TNsSDcESeA=,Calls of Courtesy,Joseph Curwen,F4,4,1986-05-28,,,,,,http://dargonzine.org/calls-of-courtesy/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/lc0jkQsVIPeeLNP+gKBIoLkWx4M.json,TRUE
obpFQDL8lXQIpNS9LP85UZsGNTI=,The Hands of a Healer,Ornoth,F4,4,1986-05-28,,,,,,http://dargonzine.org/the-hands-of-a-healer/,dargonzine.org,Dargonzine,,./scrape/jsonfiles/gOpmlyKODNcVkt-fLHnLW92Vux4.json,TRUE
