fingerprint,title,author,hostname,date,categories,tags,id,license,comments,source,source-hostname,excerpt,filename,has_text
hORjXrBQLfL0uXCFTaUo5GRzXeM=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue3/connection.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/jVtznh7HrHRuxSgtIrondN4lSY0.json,True
XxqaFTc2OS7QGBBHJGzpBXiTmt8=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue1/babel_probe.php,Babel Probe by David D. Levine,Free online science fiction magazine,./scrape/jsonfiles/28+Bso8xeszi3ksTSg9n8az2mHg.json,True
ajMe+zZoNwGTQmf6AtW/AiPovSY=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue5/review.php,August Book Reviews by I. E. Lester,Free online science fiction magazine,./scrape/jsonfiles/lXQLHowN3LWKNhfpjCzlQ2KgYtQ.json,True
lb64q01NeOki/Tl4ykZOrWp90F8=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue5/young_love.php,"Young Love, on the Drowned Side of the City by William D. McIntosh",Free online science fiction magazine,./scrape/jsonfiles/vE2TLaXsp-ZD1DyTSLetRhouy1Y.json,True
Q4RuUfxjM3TIidNrI+wIAYiNpUs=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue4/chaos_theory.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/QRGGgzQwAZ1-UIWtzEwxvWd-oqY.json,True
fyYXxgijhpCzWUOXTFOJLV/hGGo=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue3/editorial.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/1sV3qko8Es3oFln04D8t4kzv5t8.json,True
Eb3y4bE0FHbbyIjhMNiSZOIa4PQ=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue2/all_for_one.php,All for One by Steven J. Dines,Free online science fiction magazine,./scrape/jsonfiles/Tlqz3o68TqCxeMHLq8q2J3bgtGo.json,True
5uB2toUArbb6aZWojNsrsx6b+44=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue1/frost.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/NQaux2yhZpfNRS7OhFFhL4PXccM.json,True
5u2ozHdliBlgHdxN1/qlqSynprA=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue1/lightning_war.php,darkermatter.com,Free online science fiction magazine,./scrape/jsonfiles/znl5hlSN16VpxTJb6xYYhN7coy0.json,True
GXE8u5V8O+ZIcy1QRwvSy4glx6s=,Darker Matter,,darkermatter.com,2007-01-01,,"science fiction, free science fiction, sci-fi, sf, darker matter",,,,https://www.darkermatter.com/issue2/aliens.php,Is There Life Out There? by I. E. Lester,Free online science fiction magazine,./scrape/jsonfiles/lHJJVN6uuGVD4H7SEzdQl0dSoMs.json,True
