fingerprint,title,author,date,categories,excerpt,source-hostname,hostname,source
Z2ucuj2cGt3cTDwpd1DDKg9h4T8=,I Will Work for Love,Heather Sager,2020-09-07,Fiction,"A domestic cyborg yearns for a life of connection and commitment, but is purchased for entirely different reasons.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/i-will-work-for-love/
lH+s5qsGAge2r8rIkCK+pbzeL1M=,Ministry of Presence,Leah Erickson,2013-03-29,Fiction,"Leah Erickson's ""Ministry of Presence"" is a haunting tale of memory and need, set on an anonymous tropical island and playing out amidst devouring change. Rebellion and fire sweep across the land, the ash settling ""in soft drifts and mounds almost up to the windowsills of the old folk’s home.""",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/ministry-of-presence/
8yUB/KBFf2aZWalV52T9aVA34Sg=,Obituary,Jen Burke Anderson,2018-01-25,Fiction,"Jen Burke Anderson returns to The Fabulist with this biting little satire of our app-driven virtual society, and the blithe replacement of authentic human connections with market-driven user experiences.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/obituary/
om09cXD1dE+eNmG+IKoXovWs2+o=,Umpteenth,Ewan Davis,2022-11-18,Fiction,"If you could go back in time, would you really change just one thing?",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/umpteenth/
1xMWYdyVlFjEAJTSC6O50kST1vQ=,Roses,Maw Shein Win,2014-08-14,Fiction,A tall woman and a small man walked down the street one late morning in a town in New Hampshire. They looked confused and weathered and people stared at them as they passed by. She picked up a coin on the street and held it up in the light to examine the year. He grabbed...,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/roses/
Bh+g8jiqF9rpGPn5WAufJOw0nbw=,Each Note More Perfect Than the Last,Rob Francis,2022-10-21,Fiction,In which we consider the implicit violence and moral horror of the Pied Piper tale.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/each-note-more-perfect-than-the-last/
lJ7Od6zR+WYBeojmmI/YlhEWQXk=,Sleeping Beauty,Heather Bourbeau,2014-05-23,Fiction,"Magic and a strange, earthy menace abound in this tale of awakenings across the epochs.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/sleeping-beauty/
U6ciw50Vv17H1KjFPpoeRuBUCkQ=,Household Gods,Tara Isabella Burton,2014-11-01,Fiction,"""Household Gods,"" a feverish shocker by Oxford divinities scholar Tara Isabella Burton, is the first horror story ever published by The Fabulist, and the protagonist's travails are vividly described, caveat lector.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/household-gods/
fnXdgd0ly6JrIu3j7nYVY5LglkE=,The Courtship of Lady Boo-Boo,Bosley Gravel,2009-07-05,Fiction,Bosley Gravel is back with this variously grim and preposterous dismembering of a Lewis Carrol classic ...,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-courtship-of-lady-boo-boo/
Z7Vkh6P3uYZL6OwzEQOutqPvsaw=,The Leavening Agent,Sati Benes Chock,2022-04-22,Fiction,"In this wistful, wanton fantasy of sex, cancer, and freshly baked morning buns, appetite fulfilled redeems all of life's need, loss and yearning.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-leavening-agent/
hHUfIKoY4kasJ2XU9RMwlxPtdZ4=,Drone,Julieta Vitullo,2020-07-04,Fiction,"Melissa wants badly to fly the drone, but Jeff might get mad. It rests on top of the fridge, like one of those giant insects she’s seen in her oldest son’s books about the Jurassic, gleaming at her, waiting to take flight.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/drone/
quiTuoOrFO0fu8vwHF8YKHtPEYs=,"Tintamarre-ruckus-bedlam-pother-and-brawl, Behave!",Bosley Gravel,2010-06-27,Fiction,"Child-rearing, loving lesbian witches, and a summoning gone delightfully awry!",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/tintamarre-ruckus-bedlam-pother-and-brawl-behave/
N2+7y4gIkg5aMf6+COm0E4Ztd40=,The Hands,Jakob Konger,2022-12-16,Fiction,"A strange undercurrent of power, coercion, dominance and submission crackles beneath the seemingly placid surface of this deeply weird tale.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-hands/
MkKpibKOttcz9xAlyZgUHlwLBMU=,The Burning Turtle,Michael C Keith,2009-04-10,Fiction,In which the wisdom of a tormented animal provides some degree of comfort in a world full of cruelty and denial.,The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/the-burning-turtle/
i6WZhAyTIGuitO0dXaHJ94u5UE0=,Eden,Adam Masdiaz,2021-05-28,Fiction,"In this evocative work of short science fiction, a young child struggles to envision a paradise lost — and perhaps regained.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/eden/
DJhxjBFFYigOwuN3IOSqD2mrOCM=,"Stop, Before it's too Late",Tantra Bensko,2008-11-23,Fiction,"Words, like a journey out the door, will sweep you away ...",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/stop-before-its-too-late/
FnbVl71IwarZ+vIhQLdTgR2cNT8=,Origins,Sadie Hoagland,2018-10-02,Fiction,"Sadie Hoagland's brings us a magic-realist tumble into a life of painful fragments, transformed by yearning, and frozen in a moment.",The Fabulist Words & Art,fabulistmagazine.com,https://fabulistmagazine.com/origins/
