fingerprint,title,author,issue,date,categories,tags,id,license,comments,source-hostname,hostname,source,excerpt,filename,has_text
GCsSzhCzqZSs0gGkqhCE2b1bkEI=,The Journal,Ken Liu; illustrated by Galen Dara,5,2013-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue5/chapter/the-journal/,"On her twelfth wedding anniversary, as she cleaned the house, Laurie came upon a leather-bound notebook in the nightstand drawer on her husband’s side of the...",./scrape/jsonfiles/6vICxrSKs--JA5WIn4QnK3eEFvw.json,TRUE
8U8PNjbqERDsd0Pz4V6vc0tWZC0=,Symphony for the Space Between the Stars,Jenn Reese,64,2019-02-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/symphony-for-the-space-between-the-stars,"At 0600 hours, Aurora brews coffee, intensifies the lights to 800 lumens, and heats the ship to an optimal 70.2 degrees, all according to protocol. Captain C...",./scrape/jsonfiles/8wJk5xMS5rerZHBVjho97P14xeI.json,TRUE
1GPGtAmVvnU1J2zJWE3/E3V0fv4=,Gallinas,un cuento corto por Raquel Castro,71,2019-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/gallinas,"Hace mucho, mucho tiempo, en un pueblito de la sierra de Puebla, sucedió que empezaron a perderse las gallinas: cada mañana faltaban dos o tres, siempre de d...",./scrape/jsonfiles/Vo4iib9a+YlfVaYbvLu1mC-c9qQ.json,TRUE
XsdmuS5tV/b9M/SaJuV9qdEcsLE=,The Filigreed Cage,,4,2013-08-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue4/chapter/the-filigreed-cage/,"“I don’t understand why you’re doing this.” Valeria spoke in hushed tones, though no one other than Nolan was within earshot.",./scrape/jsonfiles/MRY2VG5+49P20JtcUI+m1OUAZAU.json,TRUE
GAxh7jBogST3CdySTeoQPaa2qok=,And For My Next Universe…,Matthew Castleman,79,2020-05-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/and-for-my-next-universe,"A thousand rabbits poured from the hat. Something had gone very wrong. They hopped straight off the stage and through the petrified crowd. White rabbits, bla...",./scrape/jsonfiles/VAQGx1ikJMm0PI9iGr6XRhuy80E.json,TRUE
+xYGt0lEm9hKxC4b1uYeTWRZAiA=,How to Identify an Alien Shark,Beth Goder,59,2018-09-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/how-to-identify-an-alien-shark,"Honored guests, thank you for attending this seminar on the Tucabal-Gor, colloquially known as alien sharks. I am Dr. William Smithson, the foremost expert o...",./scrape/jsonfiles/J432cD2BHWNwfoexnEj4HbR1bM4.json,TRUE
UWY0f/jt/r7fPcY8fPpt9OUdAzc=,Bury Me Standing,Dora Klindžić,81,2020-07-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/bury-me-standing,"The Romani shantytown was an ocean of sodium-gold light lapping the outskirts of Beograd. Some called it Deponia, others Cardboard City, but most preferred n...",./scrape/jsonfiles/WkHvXcPkfTGdVjHXlS-3MvKY8k0.json,TRUE
q9jxDv03FwDJyf3eBvjDhVPgpEg=,Paperclips and Memories and Things That Won’t Be Missed,Caroline M. Yoachim,38,2016-11-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/issue38/chapter/21/,"The ghost in my attic is Margaret, but she lets me call her Margie. She was seventy-six years old when she died, and now that she’s a ghost she sits in her r...",./scrape/jsonfiles/VXvGILFSiYmIMAJM1f5caflOO34.json,TRUE
XyIBfSVQrjjG7c3mITIBO62FoOY=,To Hear Them Sing,Rebecca Burton; illustrated by Christina Chung,90,2021-04-01,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/to-hear-them-sing,"Raven fidgeted in her hard wooden seat, waiting to be called to her final exam. The seat was cold and dead. No living wood was allowed in the University’s ex...",./scrape/jsonfiles/MfESRAWVyI5Z+gea64OA62Rh9to.json,TRUE
olO0PyuVh/KDlEbNVLv56BM7Ac8=,All the Boys in the Sea,Marie Croke,103,Summer 2022,,,,,,Fireside Fiction,firesidefiction.com,https://firesidefiction.com/all-the-boys-in-the-sea,"They left me to drown, sea salt clinging to the back of my throat.",./scrape/jsonfiles/xF96AAfKTzx0aFzu2ti3RooK46k.json,TRUE
