fingerprint,issue,date,title,author,category,url,hostname,source-hostname
OvNMPDq5T\/FQwhwa4PUpWck7344=,3,December 1993,And He Shall Be Called Immanuel,, Short Story,https://web.archive.org/web/20050615041709/http://odyssey.apana.org.au/~terminus/iq-3.html,http://odyssey.apana.org.au/~terminus,Ibn Qirtaiba
QLV9PhGxZkpgLFXzY7lqwRbzcDA=,4,March 1994,Other People's Flesh - part 1,, Serial,https://web.archive.org/web/20050615041709/http://odyssey.apana.org.au/~terminus/iq-4.html,http://odyssey.apana.org.au/~terminus,Ibn Qirtaiba
QaJf7z9L0Gv8Bw9yV6k7AzhRFtA=,5,June 1994,Other People's Flesh - part 2,, Serial,https://web.archive.org/web/20050615041709/http://odyssey.apana.org.au/~terminus/iq-5.html,http://odyssey.apana.org.au/~terminus,Ibn Qirtaiba
3dqBCyoWnnVy4jD+GFZAxX1cW7s=,6,September 1994,Other People's Flesh - part 3,, Serial,https://web.archive.org/web/20050615041709/http://odyssey.apana.org.au/~terminus/iq-6.html,http://odyssey.apana.org.au/~terminus,Ibn Qirtaiba
1GbmnaCv1unRfVAlImtNRFSxwIA=,7,December 1994,Other People's Flesh - part 4,, Serial,https://web.archive.org/web/20050615041709/http://odyssey.apana.org.au/~terminus/iq-7.html,http://odyssey.apana.org.au/~terminus,Ibn Qirtaiba
VYU773waV5acFMK7zTo7/decOJc=,8,March 1995,Other People's Flesh - part 5,, Serial,https://web.archive.org/web/20050615041709/http://odyssey.apana.org.au/~terminus/iq-8.html,http://odyssey.apana.org.au/~terminus,Ibn Qirtaiba
BgaZvKPjQXWL3R/aibsMUdewnaY=,9,June 1995,Other People's Flesh - part 6,, Serial,https://web.archive.org/web/20050615041709/http://odyssey.apana.org.au/~terminus/iq-9.html,http://odyssey.apana.org.au/~terminus,Ibn Qirtaiba
foAXw7RjEtiSlYHMaNGVd2yDBzs=,9,June 1995,Neuromancer,William Gibson, Fiction Archives,https://web.archive.org/web/20050615041709/http://odyssey.apana.org.au/~terminus/iq-9.html,http://odyssey.apana.org.au/~terminus,Ibn Qirtaiba
gRWNVtHMFNLCj5UqX8NauP8R65A=,10,November 1995,Other People's Flesh - part 7,, Serial,https://web.archive.org/web/20050615041709/http://odyssey.apana.org.au/~terminus/iq-10.html,http://odyssey.apana.org.au/~terminus,Ibn Qirtaiba
u0WhZf1Ydp8NCt1cQzi6qdyQqAY=,10,November 1995,The Ringworld Engineers,Larry Niven, Fiction Archives,https://web.archive.org/web/20050615041709/http://odyssey.apana.org.au/~terminus/iq-10.html,http://odyssey.apana.org.au/~terminus,Ibn Qirtaiba
