fingerprint,title,author,editor,date,categories,excerpt,hostname,source,source-hostname
Ex6gsoXOzZsYp9ZEy+dHJzYbqIM=,The Propagator – Simone Kern,Simone Kern,B Morris Allen Editor; Publisher,2019-08-23,Science fiction;Story,"There’s a packet of powder taped to my inner thigh, and it feels like the plastic is burning a hole through my leg. Two police officers wave me towards the chem-detecting archway—one last hurdle be…",metaphorosis.com,https://magazine.metaphorosis.com/story/2019/the-propagator-simone-kern/,Metaphorosis
qTtmpzPLD7gaJ5VCR3MHVnbnEcE=,The Preserved City – Charles Schoenfeld,Charles Schoenfeld,B Morris Allen Editor; Publisher,2020-11-13,Fantasy;Podcast;Story,Simona’s view of the modern city dropped away as the cable car rose toward Città Alta.,metaphorosis.com,https://magazine.metaphorosis.com/story/2020/the-preserved-city-charles-schoenfeld/,Metaphorosis
g0E7yKOo6snctGKrx/9+e1dEw7w=,One Divided by Eternity – Filip Wiltgren,Filip Wiltgren,B Morris Allen Editor; Publisher,2017-06-23,Science fiction;Story,"My happiest ending would be if Offie moved in here and I weren’t alone all the time. “I can’t, Chilli,” Offie says. “There’s not enough room for me.” I know that but I keep asking. I hate being alo…",metaphorosis.com,https://magazine.metaphorosis.com/story/2017/one-divided-by-eternity-filip-wiltgren/,Metaphorosis
LAV5+OO+UoY2r5HTevg0LkaqDPI=,Seven Scraps Unwritten – L. Chan,L. Chan,B Morris Allen Editor; Publisher,2020-04-17,Fantasy;Podcast;Story,"Scrap 1: Monograph on the four catechisms The first catechism of Eulalia is DIVERSITY LEADS TO STRENGTH. Its sigil is a square made of four interlocked components, reminiscent of hands each graspin…",metaphorosis.com,https://magazine.metaphorosis.com/story/2020/seven-scraps-unwritten-l-chan/,Metaphorosis
7g7NqNUUQ0MxRj7U8T/yCkrTooA=,Unifiers – Edward Ashton,Edward Ashton,B Morris Allen Editor; Publisher,2021-01-15,Podcast;Science fiction;Story,“Doran?” Michaela says. “I don’t like you.”,metaphorosis.com,https://magazine.metaphorosis.com/story/2021/unifiers-edward-ashton/,Metaphorosis
770jXO+WzKyBn/L0fAV45tT0gdo=,Upon the Fallen Leaves of the Ginkgo Tree – Mads Alvey,Mads Alvey,B Morris Allen Editor; Publisher,2018-08-10,Fantasy;Story,"To walk upon the fallen leaves of the Ginkgo tree is very nearly to walk upon a river of gold. It is a sight of such pure beauty that the Speakers whisper sweet blessings to the earth, spinning a p…",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/upon-the-fallen-leaves-of-the-ginkgo-tree-mads-alvey/,Metaphorosis
6WQMekfDUC3TaCRa9yRbgm3SdAI=,The Big S – David Hammond,David Hammond,B Morris Allen Editor; Publisher,2021-04-02,Podcast;Science fiction;Story,It was another New Year’s Eve at my brother-in-law’s house on the lake.,metaphorosis.com,https://magazine.metaphorosis.com/story/2021/the-big-s-david-hammond/,Metaphorosis
2DLZfFaRP/Bv6ShJvZa7aaMfRq0=,Fetch – B. Morris Allen,B. Morris Allen,B Morris Allen Editor; Publisher,2020-09-04,Podcast;Science fiction;Story,She had died from overheating.,metaphorosis.com,https://magazine.metaphorosis.com/story/2020/fetch-b-morris-allen/,Metaphorosis
oFA8bYfb/YX0rCai/Yghvd4cn/M=,Papa Pedro’s Children – Karl Dandenell,Karl Dandenell,B Morris Allen Editor; Publisher,2017-07-28,Science fiction;Story,"Peter Carlson held the gurgling two-month-old infant with one hand, while the other dug through a dresser drawer. “Bwa! Bah!” gurgled the baby. “Right as usual, Cassie,” Peter said, pulling out a b…",metaphorosis.com,https://magazine.metaphorosis.com/story/2017/papa-pedros-children-karl-dandenell/,Metaphorosis
JPKGZqC6GJ/XvrlSNTQToPTop44=,The Tapestry – A.C. Worth,A.C. Worth,B Morris Allen Editor; Publisher,2018-06-22,Fantasy;Story,"Terce—Three Hours after Dawn Sister Alice was glad of the rain. A steady patter of raindrops displayed a landscape to her sensitive ears and helped her find a path. Without hesitation, her feet fol…",metaphorosis.com,https://magazine.metaphorosis.com/story/2018/the-tapestry-a-c-worth/,Metaphorosis
