fingerprint,url,title,author,publish date,hostname,source-hostname
arObL/bCsfw2FJPhauJHonh5v70=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/alice.html,Alice Through the Flames,Roy Stead,1990-07-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
+Dyksq1bRCZCHNtQe+yF5gRTJq4=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/altered.html,Altered,Valerie Jones,1994-08,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
7j6IOFbiqTZHM+jFhVhiFN28+tQ=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/apple.html,So That's Why They Call It The Big Apple,James R. Drew,1989-10-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
fN2xpv4tt/cxf8Ip90O+hhClwvI=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/appleseed.html,Johnny Appleseed,Curtis Yarvin,1992-06-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
uFTymNpBVBvRW10tquyFEDsvb4g=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/assets.html,Marketable Assets,Vicki L. Martin,1993-04-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
F9oLX4xlmuCPFncbBTI0qC/4/wA=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/aware.html,Aware,Gary Frank,1989-10-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
qc/knrPinL6ohRYnHIYaAs3Lfpk=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/ayers.html,The Battle for Ayers Rock,Robert Fur,1991-05-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
nYHeXlmhckpHXGMcuhvgC1brijI=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/babe.html,The Babe,Jason Snell,1991-12-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
0gHm2qPS04mne9A8mDREQT41ajU=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/babysitters.html,The Babysitters,Faye Levine,1990-04-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
zm21T30QR0UwzVCmFnAyvglIWZg=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/beginnings.html,New Beginnings,James E. McWhinney,1992-06-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
8mkiXMAMYzy9P8naQVjqwynSvMA=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/being.html,Being There,Christopher Kempke,1990-04-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
aCpI1GM0QGkmgWsO55UpXHsQZcU=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/beings.html,Sharp and Silver Beings,Jason Snell,1990-04-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
gn+nUSjzenK+s93pl5UN5K6ANi8=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/biotech.html,Bio-Tech in and out of SF,Norman S. Murray,1990-02-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
VTsr+in5zHWdGhQkCtnGYGX7jAg=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/blades.html,Blades,Sonia Orin Lyris,1989-12-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
SI/u8K2unhYyZTF9+/9qJpeXuj4=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/boat.html,Waiting for the Night Boat,Nicole Gustas,1992-12-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
UjSaWCa1TfaPMe0awhiBtoOEVoE=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/burning.html,"Burning,Burning",Tom Maddox,1991-02-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
MBI+keRXcWB9jTIXJg47ujTutHk=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/challenge.html,The King's Challenge,Cerise Palmer,1990-10-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
jfN4f3vrUqb+jS3ki6H744xlvus=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/circle.html,At the Edge of the Winner's Circle,D.E. Helbing,1991-10-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
3Jek2crV1hwr4USj59ackAL5ORk=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/circumstances.html,Different Circumstances,Jason Snell,1993-12,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
Mrg88tNFAnqpU7p/kNwHFvUOxe8=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/cyberpunk.html,Cyberpunk's a Label Like Any Other,Jason Snell,1990-02-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
MgUsII3vIdjVVPgqGGCygdVRsCI=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/dance.html,Teaching a Unicorn to Dance,Conrad Wong,1991-05-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
6OVmfjYhTVAT0kkvwr18JTAwkSU=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/deadbeats.html,Deadbeats,Oisin Hurley,1992-08-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
2sSs7iue6vdqOBpzaIpfft5GPsQ=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/demon.html,To Find A Demon,"John Alexander,Michael Walsh",1991-05-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
qDE4khT5YEi1wxa0g3HQbJN3X+4=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/devils.html,Sexy's Devils,Cerise Palmer,1990-04-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
Zxqdl14pxR/16fjTunZKq9c9C9I=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/dice.html,Dice of Human Bones:  The Death of Payter,Ryan S. Borgstorm,1990-07-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
7TrPCb9SUHQYm7sFpuko5ktBzPs=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/digging.html,Digging In at Oregon Moonbase,Doug Helbling,1991-07-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
7Rloj6+jgXzmtelJcNOXizH+2ME=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/domingo.html,Four Hundred Years of Domingo,A.Y. Tanaka,1993-07-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
rkiYrBZG0YM389z69wVmZb9ZlXU=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/doorway.html,Doorway from Darkness,Christopher Kemke,1991-10-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
3Wbhi1Xe+6VtKQsglZpWlUWaMsk=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/dove.html,The Dove,Pat Fleckenstein,1989-12-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
4WM3S2Fr55tFEKbYy7SuoC12teA=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/dwarf.html,Inside a White Dwarf,Bruce Altner,1990-10-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
9ujedQvf+0XcmP4E/INdFlowykw=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/earthmovers.html,Celestial Earthmovers,Phillip Nolte,1990-04-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
qImEzmMsMO5GZ6ok/h6joWd4SxQ=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/endurance.html,The Endurance Racer,Phillip Nolte,1990-12-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
GNYitonLVWTUmgx9rxLG0ArPP/g=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/evening.html,An Evening at Home,Roy Stead,1991-10-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
PCfZ9zoEwGCJl/2qNmEq0i9oGCw=,https://web.archive.org/web/20050220195134/http://www.etext.org/zines/Quanta/example1.html,Earth as an Example (Part 1),Jesse Allen,1991-07-01,http://www.etext.org/zines/Quanta/issues.html,Quanta Magazine
