fingerprint,title,author,hostname,date,categories,tags,id,license,comments,source,source-hostname,excerpt,filename,has_text
oNOIBgcazpB4CZNtSD0bKN6JKEU=,ASFS 2nd Annual Science Fiction Contest,,,2002-01-01,,,,,,,,,./scrape/jsonfiles/9b8qPcIezUTY5ePP34Xcaqy3kYA.json,True
JQbiY5cf6qr23VJiKDmh4Z/gMN8=,Test Market by Warren Brown,,,2002-01-01,,,,,,,,,./scrape/jsonfiles/2oLiwMBWGy28sVBoVr2NZiLnIds.json,True
n/YzzAKf4DjAuzFzpKdOd1Dge80=,"UniVerses, Rose Wolf Kimbrough, Harry Potter Poetry",,,1999-01-01,,,,,,,,,./scrape/jsonfiles/ksgKiAOojbCSO4rEwHJwHN4NsQQ.json,True
1xVGcwEMM+Nv2gdqkh3L11AhFP8=,How to Write Fiction by Nick Pollotta,,,2002-01-01,,,,,,,,,./scrape/jsonfiles/9yT1LYMsFLd0EqAfZaPotBI2U5k.json,True
Wf7+2TtXRfrLTjh3JRNshNf5Bqw=,Ascension Salad by William Ledbetter,,,2005-01-01,,,,,,,,,./scrape/jsonfiles/yplUYo2MpKcBVofGjPnXQgXGOEo.json,True
MeAHINwVq0XorpPaC9Yjk3X1rPU=,Blessed Slumber by Ralan Conley,,,2002-01-01,,,,,,,,,./scrape/jsonfiles/VDsFvW1dHjp6kIOi6W0+SEnfsFE.json,True
pcadoarpXmjBsrvaT3H0X+oacdA=,Light Music by Bernie Ackerman,,,2002-01-01,,,,,,,,,./scrape/jsonfiles/YVp2pKT6hr6IWuTJKTk3BOn6jWA.json,True
JeLZ5POH53KCgJleJbLMdWoVj4w=,A Servant of the Bureaucracy by John C. Snider,,,2000-01-01,,,,,,,,,./scrape/jsonfiles/t4XWjIr+tAPJuie8J+1b-BbM3ek.json,True
p3ggivNlAQ7QtCg7iepxpI1Mea4=,Again the Burning Times by Justin Gustainis,,,2002-01-01,,,,,,,,,./scrape/jsonfiles/WGnjpnTZzJ80yJF072VQMbuBPBY.json,True
qObtuct7j1i9X/rNHGnuT4BaH2c=,Pull the Puppet Strings: The Aberrant Dreams Writer's Challenge,,,2006-01-01,,,,,,,,,./scrape/jsonfiles/-bPDI-XKnkPJRzZ0IZDLh8Gaf98.json,True
