fingerprint,title,author,hostname,categories,tags,id,source,source-hostname,excerpt,filename,has_text
pNSwCg/SSAgu1qVpf6dUNDVCzNs=,A Consensus Told in Chromatophores,Andi C. Buchanan,3lobedmag.com,,,,https://www.3lobedmag.com/issue32/3lbe32_story5.html,Three-Lobed Burning Eye Magazine,"Democracy shades black-brown-yellow, is iridescent, buoyed up on reflective cells: guanophores and leucophores. Democracy is in warm shallow waters, and among the glass towers that poke the surface into the hostile dry-world. Democracy is a consensus told in chromatophores",./scrape/jsonfiles/Fk2sQIf2OKtpGLB0JpCv9y+BDyQ.json,TRUE
molHi7kdeymSP8jD+HPeAMGXg4Q=,A Dark Star Strikes the Stonemason,Simo Srinivas,3lobedmag.com,,,,https://www.3lobedmag.com/issue37/3lbe37_story1.html,Three-Lobed Burning Eye Magazine,"Before the Raden Roro arrived at the Poison Court, portents warned of her coming. Comets spread across the sky in a lattice of rubies; courtiers slept badly and complained of feeling watched, and the Rajah fell ill and took to his bed.",./scrape/jsonfiles/4uqEFaR1qaEG7rUngtPfAWvQn-I.json,TRUE
b7JTtPUjGpZ0aO7Nr5qSBCnKwHE=,A Girl at the End of the World,Prashanth Srivatsa,3lobedmag.com,,,,https://www.3lobedmag.com/issue31/3lbe31_story3.html,Three-Lobed Burning Eye Magazine,"Father slept with his head beside Maya's feet, his arm across her knees, the woolen of his thigh a second pillow for her. When she woke in the middle of the night, he was gone, leaving behind a bale of hay where his head had been,",./scrape/jsonfiles/Ivgl+Xk8xW11UKoMBD1AeDW31ys.json,TRUE
5DD17fNnIKnzQa7TfKnnKETPPNc=,A Girl Explodes,Ruth Joffre,3lobedmag.com,,,,https://www.3lobedmag.com/issue37/3lbe37_story4.html,Three-Lobed Burning Eye Magazine,"No one knows why. Her friends, who were with her at the time, walking around in search of Halloween costumes to wear to a party that weekend, theorize that it had something to do with gym class...",./scrape/jsonfiles/Fb387hyl9OCdJgzqICDA2oGTOlU.json,TRUE
1yI3hMfHbSDl1F/51OipHCukkTc=,A Retrospective,Adam Browne and Jeremy Shaw,3lobedmag.com,,,,https://www.3lobedmag.com/issue27/3lbe27_story4.html,Three-Lobed Burning Eye Magazine,"Never have I travelled so far to review an exhibition. For this, however, I would have travelled further. Readers of my column in the <em>Times of India</em> will be aware that sculpture is my passion. It was the first art form, and it is the last, in the white figures of the skeletons we leave after death.",./scrape/jsonfiles/n8FvaGfeUJdfsuZEkBcdVgndnbA.json,TRUE
+BTFeR2CzB1k6CaBF5cY/XmMOYA=,A Selection of Tissues,Kelly Lagor,3lobedmag.com,,,,https://www.3lobedmag.com/issue34/3lbe34_story5.html,Three-Lobed Burning Eye Magazine,"The idea came to me late one afternoon as I pondered the naked cardboard at the heart of my last roll of toilet paper. Delivery would involve an unacceptable delay, and the thought of exposing myself to the outside world, for something as simple as toilet paper, filled me with a dread resolve.",./scrape/jsonfiles/p+Icz90bvuTghi2zUB8x-aC0on8.json,TRUE
ZI/liPIcaHSt1XpSvur2LhuvXiM=,Angel,Angel,3lobedmag.com,,,,,Three-Lobed Burning Eye Magazine,,./scrape/jsonfiles/hK6Sxt3Se20kooQVEmYYkMEcB8E.json,TRUE
uYKhvUhDkZt9W6HuyBAq2DY2OZI=,"At the End of the Song, a Ghost is Waiting",Cat Rambo,3lobedmag.com,,,,https://www.3lobedmag.com/issue31/3lbe31_story6.html,Three-Lobed Burning Eye Magazine,"At the end of the song, a ghost is waiting. It ripples in the air. It is a hint of iridescent blue, so subtle it can scarcely be seen. If it makes any noise it's not audible over the music. He is listening to the first verse, the one he wrote the first day he saw her.",./scrape/jsonfiles/d6nl1AYhJycX9jlIwpo5UUiLgAM.json,TRUE
buElMJ54BRPu1ExhcYXPTRzxbdg=,At the World Tree Hotel,Claude Lalumiere,3lobedmag.com,,,,https://www.3lobedmag.com/issue26/3lbe26_story1.html,Three-Lobed Burning Eye Magazine,"For the past five days, as the cruise ship <em>Venusian</em> languorously travelled the Mediterranean from Barcelona to Venera, the weather had been perfect: bright blue skies tempered by the occasional white cloud with not a hint of rain; never dipping below fifteen degrees centigrade at night, never going above twenty-five in the daytime; a steady breeze that carried the mesmerizing aroma of the sea.",./scrape/jsonfiles/OAWJzZIh390ZtVlNur-+b+nA+VY.json,TRUE
n6pX01o1x1Sz8FQ5jCHo3oRClyI=,Bad House Spirit,DeAnna Knippling,3lobedmag.com,,,,https://www.3lobedmag.com/issue26/3lbe26_story5.html,Three-Lobed Burning Eye Magazine,"My family didn't come from medicine men or anyone like that. But I always leave a taste out on a napkin for the spirits anyways. I always went to the dances, too, when I lived back at home. You have to let your negative emotions rise like smoke. And I always carry a pack of cigarettes, just in case.",./scrape/jsonfiles/B1MhjfcKZ+mcD6PQqmW6+dX5gbU.json,TRUE
