fingerprint,title,author,date,series,categories,tags,id,license,comments,source,hostname,source-hostname,excerpt,filename,has_text
4PNju1RwCSPE0luWSXIk3tOMKfc=,The Leviathan,Wesley Allsbrook,2008-07-20,,,Comics;Fantasy;Tor Com Comic;Wesley Allsbrook,14342,,,https://www.tor.com/2008/07/20/leviathan/,tor.com,Tor.com,"Our first original comic (or “sequential art piece,” if you will) from the talented Ms. Wesley Allsbrook. Enjoy!",./scrape/jsonfiles/XWygFstWn5UmG7K7xNPSbrw5Dkc.json,TRUE
Jtq/FkZM/v07bX7hGWu04BnlMtk=,Down on the Farm,Charles Stross,2008-07-20,,Fantasy;Lovecraftian,Charles Stross;Cthulhu Mythos;Fantasy;Horrorcraig Phillips;Humor;Laundry Files;Lovecraftian;Original Fiction;Short Fiction;Tor Com Original,13813,,,https://www.tor.com/2008/07/20/down-on-the-farm/,tor.com,Tor.com,"In Charles Stross’s novel The Atrocity Archive and its sequels, the “Laundry” is a secret British agency responsible for keeping dark interdimensional entitities from destroying t…",./scrape/jsonfiles/S89XL2xlylHa0GRJK9F5sW7FXwU.json,TRUE
XjriPkgS+qfzt/nvVKDIMJw9YrM=,After the Coup,John Scalzi,2008-07-20,,Science Fiction;Space Opera,Hard Science Fiction;John Harris;John Scalzi;Old Mans War;Original Fiction;Science Fiction;Short Fiction;Tor Com Original;Wars,13784,,,https://www.tor.com/2008/07/20/after-the-coup/,tor.com,Tor.com,"In a universe of harsh interstellar conflict, the practice of interspecies diplomacy — when possible — is important. So being a Colonial Union officer attached to an interplanetary dipl…",./scrape/jsonfiles/EajE0SH-U9U+NOpiVQtcq094B7k.json,TRUE
ZepMubHttD9MLu1C/aPBTu3E98o=,Old Flames Flare for Sweetie ‘n Me,Joel Priddy,2008-08-05,,,Comics;Joel Priddy;Tor Com Comic,14872,,,https://www.tor.com/2008/08/05/oldflames/,tor.com,Tor.com,"Among Joel Priddy’s finest creations are the charming mad scientists December and Elias, who feature in his always-excellent “Sweetie ‘n Me“ shorts. Tor.com is pleased to bring you its second all-n…",./scrape/jsonfiles/mwwn8psQV-A29f1NB9oluonrVGo.json,TRUE
urmXPu0sVJyWU/VqNsAVwXUg40U=,The Things that Make Me Weak and Strange Get Engineered Away,Cory Doctorow,2008-08-06,,Dystopian;Science Fiction,Cory Doctorow;Dystopian Fiction;Near Future;Original Fiction;Red Nose Studio;Science Fiction;Short Fiction;Tor Com Original,14896,,,https://www.tor.com/2008/08/06/weak-and-strange/,tor.com,Tor.com,"’Cause it’s gonna be the future soon, And I won’t always be this way, When the things that make me weak and strange get engineered away —Jonathan Coulton, “The Future Soon” Lawrence’s cubicl…",./scrape/jsonfiles/i6Humr7tPe6Od-I6QoEFAPBmdJE.json,TRUE
g4dWo4WkvIIQg5W9OZHRHvNcJTA=,Shade,Steven Gould,2008-08-26,,,Eric Fortune;Jumper;Original Fiction;Present Day Scienec Fiction;Science Fiction;Short Fiction;Steven Gould;Third World;Tor Com Original,15182,,,https://www.tor.com/2008/08/26/shade/,tor.com,Tor.com,"Steven Gould’s classic SF novel Jumper is the story of a young man with a single mysterious superpower: he can teleport anywhere, in the blink of an eye. Now, in a story set after Jumper̵…",./scrape/jsonfiles/N0I07yX4dnT9JGgtEmTVeNJhIrk.json,TRUE
555YgIS5i7Kdptmlq2IbqoS3Pn8=,The Girl Who Sang Rose Madder,Elizabeth Bear,2008-09-11,,Fantasy,Brad Holland;Elizabeth Bear;Fantasy;Music;Original Fiction;Rock And Roll;Short Fiction;Tor Com Original,15353,,,https://www.tor.com/2008/09/11/rose-madder/,tor.com,Tor.com,"In art as in life, you’ve got to change in order to live. Even when your audience — and maybe your friends — thinks it would be great if you stayed the same forever. In some cases…",./scrape/jsonfiles/wCU7NhbC0S4CGrYR01LlwYcJDvI.json,TRUE
R7TSq/kQJjfrrW5/x+hSgfC+VoU=,A Softer World,Emily Horne; Joey Comeau,2008-09-15,A Softer World,,Comics;Joey Comeau And Emily Horne;Original Fiction;Tor Com Original,15442,,,https://www.tor.com/2008/09/15/a-softer-world/,tor.com,Tor.com,"As part of its original sequential art offerings, each month tor.com will be bringing you a new A Softer World strip, by the inimitable Joey Comeau and Emily Horne. There are years worth of classic…",./scrape/jsonfiles/gfKa1gvJWaWjLL4LCjOa-ZK0LPc.json,TRUE
5sMvl/Kyh1WJOV1FA/lTThTziV0=,Better Zombies Through Physics,Jim Ottaviani; Sean Bieri,2008-09-16,Better Zombies Through Physics,,Cats;Comics;Jim Ottaviani And Sean Bieri;Original Fiction;Physics;Schroedingers Cat;Tor Com Original;Zombies,15497,,,https://www.tor.com/2008/09/16/btzp00/,tor.com,Tor.com,"Join us for chills, thrills, and pulse-pounding scientific breakthroughs as we embark on a tour of the Quantum Zombie, Inc. facility, courtesy of a guy who bears a striking resemblance to famed sci…",./scrape/jsonfiles/awgC1OTFMYOhGJ0vjeqGsX1RUXs.json,TRUE
UVCZgAi7iQjsGze7U+zRMA72mtw=,Catch ‘Em in the Act,Terry Bisson,2008-10-01,,Contemporary Fantasy;Fantasy,Fantasy;Jeremy Enecio;Original Fiction;Present Day Fantasy;Short Fiction;Terry Bisson;Tor Com Original,15676,,,https://www.tor.com/2008/10/01/catchem/,tor.com,Tor.com,Lou has a magic box. It makes people do things they normally wouldn’t. And Lou likes to watch.,./scrape/jsonfiles/us-Dr7YxU9wOXaOq0jY004H2CFI.json,TRUE
ZyaahEUZm6qddtGoR5GYOln1SW0=,"Jack and the Aktuals, or, Physical Applications of Transfinite Set Theory",Rudy Rucker,2008-10-09,,Science Fiction,Marcos Chin;Mathematics;Original Fiction;Rudy Rucker;Science Fiction;Short Fiction;Tor Com Original,15715,,,https://www.tor.com/2008/10/09/jackandtheaktuals/,tor.com,Tor.com,"Like many other stories and novels by Rudy Rucker, “Jack and the Aktuals” is a wild and wooly dramatization of certain principles of higher mathematics, with added talking animals, sent…",./scrape/jsonfiles/DiIy3kulbv3uTenolFftM54pIPo.json,TRUE
oFHNzPmfqlqZGDga2ECpXjlAUsE=,A Water Matter,Jay Lake; Www Jlake Com,2008-10-29,,Epic Fantasy;Fantasy,Adventure Fantasy;Dan Dos Santos;Epic Fantasy;Fantasy;Jay Lake;Original Fiction;Short Fiction;Tor Com Original,16217,,,https://www.tor.com/2008/10/29/a-water-matter/,tor.com,Tor.com,"A tale of magic, revenge, and bitter death on the rain-spattered streets of the great city. This is epic fantasy not in the tradition of Tolkien, but, instead, sensual, ominous, shot through with t…",./scrape/jsonfiles/5YysOl5NXa+L23SZkzhuNP7BZ58.json,TRUE
TXPvQ3IbuoGlb+UXWDTDlzzEFEY=,An Inordinate Fondness for Sweetie ‘n Me,Joel Priddy,2008-11-06,,,Comics;Joel Priddy;Original Fiction;Tor Com Original,15488,,,https://www.tor.com/2008/11/06/inordinate-fondness/,tor.com,Tor.com,"Among Joel Priddy’s finest creations are the charming mad scientists December and Elias, who feature in his always-excellent “Sweetie ‘n Me” shorts. Tor.com is pleased to br…",./scrape/jsonfiles/Ok6NdfbsPenPF6B3F-RD1ORo19M.json,TRUE
4qZ9E9zYrr+g7K0/IOxpLQCNZl4=,Firstborn,Brandon Sanderson,2008-12-17,,Science Fiction;Space Opera,Brandon Sanderson;Donato Giancola;Far Future Sf;Hard Science Fiction;Original Fiction;Sapce Opera;Science Fiction;Short Fiction;Tor Com Original;Wars,17472,,,https://www.tor.com/2008/12/17/firstborn/,tor.com,Tor.com,"Of the son of a High Duke of the interstellar Empire, much glory is expected. And expected. And still expected, despite endless proof that young Dennison Crestmar has no talent whatsoever for war. …",./scrape/jsonfiles/KVe36nZxxlAd6aeP4n9R2XmwiIg.json,TRUE
jwO3D0SJZ5NidVB5UwgrA3lYkjE=,The 12 Days of Zombie Christmas,Sean Bieri,2008-12-22,12 Days Of Zombie,,Braaaaaaaaaains;Christmas;Comics;Humor;Sean Bieri;Tor Com Comic;Zombies,17530,,,https://www.tor.com/2008/12/22/z12-00/,tor.com,Tor.com,"We’re thrilled to be working again with the talented and hysterical Sean Bieri, who first came to Tor.com as part of the Better Zombies Through Physics team. Now we’re publishing Sean&#…",./scrape/jsonfiles/R4i8b6oVPGUpKxRLZfPgZMLPmv4.json,TRUE
mSMkCuRzrxhEl3M9nkwCmAaZ4Gk=,Great Uncle George’s Will,Andi Watson,2009-01-09,,,Andi Watson;Comics;Tor Com Comic,17898,,,https://www.tor.com/2009/01/09/watson-hen/,tor.com,Tor.com,"When Henrietta is summoned to her Great Uncle George’s house, the last thing she expects is a magical adventure rife with treachery, fine fare, and contract law. But that’s what she’s going to get!…",./scrape/jsonfiles/bSSYZ9J1l0W2wkagESj2tk3GyQU.json,TRUE
o/byYAlkbaM0gN25IwelwYmXhGs=,Errata,Jeff VanderMeer,2009-01-15,,Contemporary Fantasy;Fantasy,Fantasy;Jeff Vandermeer;Jonathan Twingley;Metafiction;Original Fiction;Present Day Fantasy;Short Fiction;Tor Com Original,18045,,,https://www.tor.com/2009/01/15/errata/,tor.com,Tor.com,Perhaps “Errata” is a metafictional narrative about a short story assigned to Jeff VanderMeer (or a fictional version of Jeff VanderMeer) by a now-defunct literary journal (or a fiction…,./scrape/jsonfiles/UIdD57fgtcXsBqxFwxepx3RdhmQ.json,TRUE
+pKQuV1FN4/0nOeCDBBz9X+H1ho=,Yes We Will,Dan Goldman,2009-01-19,,,311016;Barack Obama;Comics;Dan Goldman;Mayan Calendar;Politics;Science Fiction;Singularity;Tor Com Comic,18150,,,https://www.tor.com/2009/01/19/yes-we-will/,tor.com,Tor.com,"In anticipation of tomorrow’s presidential inaugural, Dan Goldman extrapolates a psychedelic, science-fictional scenario from a catchy campaign slogan and the millenial apocalyptic notions of…",./scrape/jsonfiles/c5t0-3ZF8nSVTw9j9MbkT5F5IBw.json,TRUE
QBnFCo+0nMCDVCHjYu67DErGuFY=,Escape to Other Worlds with Science Fiction,Jo Walton,2009-02-06,,Alternate History;Science Fiction,Alternate History;Gary Kelley;Jo Walton;Original Fiction;Science Fiction;Sfxsf;Short Fiction;Tor Com Original,18690,,,https://www.tor.com/2009/02/06/escape-to-other-worlds-with-science-fiction/,tor.com,Tor.com,"It’s 1960, and the Axis powers dominate the world. Life goes on, because, as we see in “Escape to Other Worlds with Science Fiction,” history is driven both by big events and by s…",./scrape/jsonfiles/uBo2beacAVHFtGH1W30JOTgvtHM.json,TRUE
v3mVFqvZH5CO1UKdv6jVJVkL8Po=,A Weeping Czar Beholds the Fallen Moon,Ken Scholes,2009-02-17,,Epic Fantasy;Fantasy,Epic Fantasy;Fantasy;Gregory Manchess;Ken Scholes;Original Fiction;Psalms Of Isaak;Short Fiction;Tor Com Original,18910,,,https://www.tor.com/2009/02/17/a-weeping-czar-beholds-the-fallen-moon/,tor.com,Tor.com,"After untold ages of futurity, the world is old. Regret is endless. Deceit is ubiquitous. And for the Weeping Czar, love is new.",./scrape/jsonfiles/LF+KC5DLRwGxzBxfWn41sHErW5o.json,TRUE
