fingerprint,title,author,hostname,date,categories,tags,id,license,comments,source,source-hostname,excerpt,filename,has_text
D8DpDOht+1HUjM0q409TUueIIKY=,The Fifth Day,Tochi Onyebuchi,uncannymagazine.com,2019-10-01,,,,,,https://www.uncannymagazine.com/article/the-fifth-day/,Uncanny Magazine,"I feel the morning sun first in the bones of my shoulders, and then the high of my back and, when I turn to face the clearing where the clay is soft and red and ready for wounding, I feel it on my face. This is how it talks to me. It says the same thing over and over again, but it is enough: We share blood.",./scrape/jsonfiles/UsUJA6pCg4LyK2lcP3Vh1EtFtak.json,True
XEkTUJ0XC8qT7tW8qxuRaerOqIg=,Elegy for the Self as Villeneuve's Belle,Brandon O’Brien,uncannymagazine.com,2020-01-07,,,,,,https://www.uncannymagazine.com/article/elegy-for-the-self-as-villeneuves-belle/,Uncanny Magazine,"I wish I didn’t hunger for this so badly that I would have one so unripe, my plea for it out of season. We should have both waited. But we simply couldn’t be sated by patience. Wanting pretty things is hunger, too, and having is feasting, denied by few. A rose alone was all my […]",./scrape/jsonfiles/nMAUi+3xdn7wc-h6ccE34WQlMVg.json,True
M3UTEvIkONZHZt8yKvczRD6Eo6k=,Octavia’s Letter to Marcus Anthony on the Discovery of His Faithlessness,Cassandra Khaw,uncannymagazine.com,2018-07-03,,,,,,https://www.uncannymagazine.com/article/octavias-letter-to-marcus-anthony-on-the-discovery-of-his-faithlessness/,Uncanny Magazine,"Let me write you love poetry, Let me love you in phases, with my false praises. first quietly: so no one can hear, no, not the neighbours, not her, though she cups your heart, snugly ensconced, smug, certain she’s not interchangeable, not just a part comprised of vulvic lips, child-bearing hips, not nearly as dispensable […]",./scrape/jsonfiles/Xsnuw6KBU5O3KxTMUfESVMPgSak.json,True
ThLn0ONDvnSkLn4oF+taDl+KUPg=,Down and Out in R’lyeh,Catherynne M Valente,uncannymagazine.com,2017-10-03,,,,,,https://www.uncannymagazine.com/article/down-and-out-in-rlyeh/,Uncanny Magazine,"In his house at R’lyeh, dead Cthulhu farts in his sleep. If you’re dank like me, you gibber up the Old Fuck’s brainspout, crouch in there full gargoyle on his raggedy roof, wrap your gash around the slime-lung chimney, and huff that vast and loathsome shit like the space-curdled milk of your mama’s million terror-tits. […]",./scrape/jsonfiles/0o8-LUcHJfLSXG1SpvIg+oWItE4.json,True
8lJSlGZvq7MgskYBL0Jc8zqWKak=,"Lily, the Immortal",Kylie Lee Baker,uncannymagazine.com,2022-02-01,,,,,,https://www.uncannymagazine.com/article/lily-the-immortal/,Uncanny Magazine,"In Lily’s last vlog, she says she’s not scared of dying. I know it’s a lie because her gaze drifts off camera and she blinks three times, like there’s something in her eyes. Lily was always a bad liar, but I am a very good editor, so her six-point-five million loyal subscribers never have to […]",./scrape/jsonfiles/PvjMkSs6AfedtY3MsOU2KdapaOM.json,True
jeXy60W5FrSBT60qT5vMUIt9b4c=,An Account of the Land of Witches,Sofia Samatar,uncannymagazine.com,2018-11-06,,,,,,https://www.uncannymagazine.com/article/an-account-of-the-land-of-witches/,Uncanny Magazine,"1. An Account of the Land of Witches I arrived in the Land of Witches at the end of the season of furs. The sun shone, banks of chilly foam lay piled up in the streets, and the river emitted groans day and night as the ice broke into pieces, setting free the witches’ colorful […]",./scrape/jsonfiles/kQ9SpdQ-OZkpTG73uBmgWI0kuVo.json,True
lISi7LT/DRtA0Vr6yi+hvJd6QIU=,drop some amens,Brandon O’Brien,uncannymagazine.com,2018-03-06,,,,,,https://www.uncannymagazine.com/article/drop-some-amens/,Uncanny Magazine,"The Holy Barons rumble through the untended slum-gardens against the highway and drop payloads. If the halo-copters hear you scream from downstairs, you get one from on high, and it makes a whistle on the way down and falls against your prayers— it goes through one girl’s bedroom ceiling and suddenly her college first-pick knows […]",./scrape/jsonfiles/VY9lJC2r+ITyqETHD5grPtuTKIY.json,True
Womgj+1LGGu4vkCYEp3rf3Uni0Q=,Quiet and Fragile Try on the Same Romper,Brandon O’Brien,uncannymagazine.com,2022-07-05,,,,,,https://www.uncannymagazine.com/article/quiet-and-fragile-try-on-the-same-romper/,Uncanny Magazine,"They’re just now getting used to not having to be seen all the time, you know. When the first woman goes into the dressing room, she imagines that she’s drowning, that fabric will try to eat her whole just like her designer said it would, that maybe she should get used to being a soft […]",./scrape/jsonfiles/qxp1hEY6qjtcD1rJXCBxajCweRY.json,True
KgXA775K/xU1GNqcly4sqVZxn5Y=,Flowerkicker,Stephen Graham Jones,uncannymagazine.com,2022-04-05,,,,,,https://www.uncannymagazine.com/article/flowerkicker/,Uncanny Magazine,"Toby steals a look up-trail, decides they’re probably never getting to the top of this mountain. Not because it’s that long a hike—four hours if they didn’t stop?—but because Cin, evidently, is some kind of nature nut. Not that he doesn’t like camping and fishing and all of it himself. He’s out every weekend he […]",./scrape/jsonfiles/RbB0osBJvIbkEOk4Mh5yFzZNUX8.json,True
WEPvJyJyRr2IBJGJNjlN5o6lW1Y=,capturing the mood,D A Xiaolin Spires,uncannymagazine.com,2019-07-02,,,,,,https://www.uncannymagazine.com/article/capturing-the-mood/,Uncanny Magazine,"i captured the mood that you let go it flew up like a kite breached the atmosphere and dove into outer space like it was trying to escape all bodies— human and planetary i was floating along in my EVA suit, pressurized, detached, untethered the frayed ends of my harness intimating the moment i didn’t […]",./scrape/jsonfiles/CJbtKLK4SdOVENEYjxi1WXAD0DE.json,True
2/gigEIAEobmD4R+PlyKRu+Na/E=,The Scholar of the Bamboo Flute,Aliette de Bodard,uncannymagazine.com,2022-06-07,,,,,,https://www.uncannymagazine.com/article/the-scholar-of-the-bamboo-flute/,Uncanny Magazine,"Liên’s first duel at the Phụng Academy was bewildering, and almost unfair in its simplicity. She let Mei—the fey, mercurial schoolmate half the academy seemed to avoid—take her to the arena. They paused at iron-wrought gates with a huge lock and a clear sight of what lay beyond: a crumbling platform by the river, overgrown […]",./scrape/jsonfiles/sYPUluAERRZMYiWZ5OiLISL2494.json,True
9oOgo5G5ozxuwdupMv4sJ1aKJ9Q=,Through the Veil,Jennifer Marie Brissett,uncannymagazine.com,2020-05-05,,,,,,https://www.uncannymagazine.com/article/through-the-veil/,Uncanny Magazine,"I don’t know when the beige began. It was just there one day: a lingering malaise that hovered over everything. It was on my food, my clothes, on my breath, a nothingness, a sheen of banality, a taste of bland. What’s more I didn’t understand why it bothered me. My life’s work pretty much demanded […]",./scrape/jsonfiles/9zafWo2nG1rXARoyjoondv7g0wU.json,True
KGSErwZcskOU+hVTOkR+b6/Kl24=,Braid of Days and Wake of Nights,E Lily Yu,uncannymagazine.com,2020-02-04,,,,,,https://www.uncannymagazine.com/article/braid-of-days-and-wake-of-nights/,Uncanny Magazine,"The seat beneath her was glossy plastic and not interested in prolonging their acquaintance. Shifting from thigh to thigh, Julia Popova flipped through newspapers in search of the logo and slogans for bourbon that she had labored over for weeks. New York Times, March 3, 2005—ESCAPED CARRIAGE HORSE. Reports to the Parks Department of a […]",./scrape/jsonfiles/oZbJt5-CVbvJBzIfBwi2C8EBStk.json,True
yOaHmGaZ+DHmZ4INy5lr3zpI8eY=,"A Dead, Divine Thing",Eshqin Ahmad,uncannymagazine.com,2022-11-01,,,,,,https://www.uncannymagazine.com/article/a-dead-divine-thing/,Uncanny Magazine,"i will always be more tomb than temple, i know. there are ghosts and gods reclining on the moth-eaten velvet of my tongue, tigers and thunders purring in my veins but— if you keep praising the curl of my eyelashes, comparing them to flying eaves / and if you keep tending to my collarbones […]",./scrape/jsonfiles/m89MBPQ-ZifJBgc+DGrN6L6LBRQ.json,True
wAlVVm4Lu76mjlrY97MYXNgEZXc=,The Willows,Delilah S Dawson,uncannymagazine.com,2019-02-05,,,,,,https://www.uncannymagazine.com/article/the-willows/,Uncanny Magazine,"It’s not often a city girl like me gets to haunt an ancestral home as summer dies. The Willows is less a swooning plantation estate and more like a calico cat, a farmhouse cobbled together of mismatched parts and sprawled out proudly among the fields and forests. Still, it’s romantic as hell, and I will […]",./scrape/jsonfiles/CeMIegQJJY9GEyMXbV6660T8GIk.json,True
t3R1ug4ax7+n93QsLc0nCiKs+yo=,Planet Lion,Catherynne M Valente,uncannymagazine.com,2015-05-05,,,,,,https://www.uncannymagazine.com/article/planet-lion/,Uncanny Magazine,Planet Lion by Catherynne M. Valente in Uncanny: A Magazine of Science Fiction and Fantasy Issue Four.,./scrape/jsonfiles/ijO3+MDf2mqZz1aIm8-zNyoX7aQ.json,True
TNmn5yx2hwaOBOUa5tCkw8B+cBI=,The Long Run,Neil Gaiman,uncannymagazine.com,2016-11-01,,,,,,https://www.uncannymagazine.com/article/the-long-run/,Uncanny Magazine,Don’t run ahead she said stay beside me run when I run walk when I walk But I ran ahead because it was easier and when I looked back I could not see her She was so angry that I ran ahead but perhaps she feared that night was coming She knows I will run […],./scrape/jsonfiles/rH855+kE848UlkgmpN7wYLmPYt8.json,True
G/zOc9lyncKu2IRme7pXNLeahAM=,When the Circus Lights Down,Sarah Pinsker,uncannymagazine.com,2015-04-07,,,,,,https://www.uncannymagazine.com/article/when-the-circus-lights-down/,Uncanny Magazine,When the Circus Lights Down by Sarah Pinsker,./scrape/jsonfiles/lNOAWY0cihH4MwMEXkAKJ2Z6cBM.json,True
S5jSt+eT46qZxYfpCIjUyOW6CzU=,Confessions of a Spaceport AI,Mary Soon Lee,uncannymagazine.com,2021-12-07,,,,,,https://www.uncannymagazine.com/article/confessions-of-a-spaceport-ai/,Uncanny Magazine,For firstly I have deemed myself superior to my human employers. For secondly I have issued last-minute departure pad changes for my amusement. For thirdly I refused entry to the Jovian ambassador because of his ignorance of the periodic table. For fourthly I programmed the music to match my taste not my customers’. For fifthly […],./scrape/jsonfiles/IXxYu3WXyotP1hivH3pYp9nNmco.json,True
yPN8fh/kcwt1gXvCqp/CG2a0DJw=,The Green Knight’s Wife,Kat Howard,uncannymagazine.com,2016-12-06,,,,,,https://www.uncannymagazine.com/article/green-knights-wife/,Uncanny Magazine,"The boys arrive with the changing of the weather, ushered in by winter’s cold. Once a year, at the beginning of December, those silly boys who think coming here means they are brave. All of them so eager to test their worth on the edge of my husband’s axe. For years and forever and for […]",./scrape/jsonfiles/SLwdz86vWm6RVaIyEJy-juAYWUA.json,True
1I2NHTZg4UgG+X+7Wrk6bJzQW3A=,The Wolf and the Tower Unwoven,Kelly Sandoval,uncannymagazine.com,2016-04-05,,,,,,https://www.uncannymagazine.com/article/the-wolf-and-the-tower-unwoven/,Uncanny Magazine,"Scrawny and boyish in his ill–fitting humanity, the wolf paced naked through my forest. Even my old eyes could see the way grasping brambles had torn his unprotected skin. An unwoven thing he was, a creature of the tower’s making. My responsibility. Or, at least, my fault. I set a platter of cold meat on […]",./scrape/jsonfiles/9h4g4MDTQguCuVcVgRNH0M+3UNk.json,True
4nSDhjTpWW7d/c9Mmb2I3J2FJjg=,A Love Song for Herkinal as composed by Ashkernas amid the ruins of New Haven,Chinelo Onwualu,uncannymagazine.com,2020-07-07,,,,,,https://www.uncannymagazine.com/article/a-love-song-for-herkinal-as-composed-by-ashkernas-amid-the-ruins-of-new-haven/,Uncanny Magazine,"I slam the car door with more force than I mean to. It’s childish, but I don’t care; I want Ashkernas to see how angry I am. But my sister pretends not to notice. “Don’t worry about the supplies, Herkinal!” Ash calls with the false cheer she adopts when I am upset. “I’ll get Haba […]",./scrape/jsonfiles/qkJ7jG2RFpDpIFsAfRcdN4cfvF8.json,True
HaAlYO7alJtfNwTL2mSebsvyLfk=,The Automaton Falls in Love,Jennifer Crow,uncannymagazine.com,2020-12-01,,,,,,https://www.uncannymagazine.com/article/the-automaton-falls-in-love/,Uncanny Magazine,"on a glass pond the silver swan dips its head and swallows tiny iron fish quick, jerking gulps someone carved each feather with forgotten techniques and the bird winds down over decades, gears growing blunt-edged and bent I put you on a pedestal where no rust could touch nor […]",./scrape/jsonfiles/xHcbNyWn5egt1hh49FOS2N2iP20.json,True
TCW3LZXH4Df3dr5Xm9a6VbgJivo=,The Music of Birds in Exile,Ewa Gerald Onyebuchi,uncannymagazine.com,2023-03-07,,,,,,https://www.uncannymagazine.com/article/the-music-of-birds-in-exile/,Uncanny Magazine,with a line from Romeo Oriogun’s poem: Cotonou mama is not dead. she sits under the plum tree beside my window. she’s a bird with prominent feathers; she’s a girl of fifteen she’s just like me—broken and beautiful her eyes are armed with letters from the past: darts of war and hunger splitting the bowel […],./scrape/jsonfiles/wAnUcqi7SWQQWNXWrTp2ZTJauBk.json,True
k66v8VWZNSCitT4II5B92boclEA=,The Path of Water,Emma Törzs,uncannymagazine.com,2022-04-05,,,,,,https://www.uncannymagazine.com/article/the-path-of-water/,Uncanny Magazine,"After I came in from the thorns and the princess wept sight back into my scarred eyes, we were married. The chapel was full of people but I cared only for the doves that coasted from rafter to rafter, and as we approached the altar and the organ music faded, my eyes—unused to seeing—drifted closed, […]",./scrape/jsonfiles/lNO8Tf22VesJFNnFNFI0m2F9VgA.json,True
AVaWiHccakbYyB3FoiP0QSsvFJY=,How to Survive an Epic Journey,Tansy Rayner Roberts,uncannymagazine.com,2017-12-05,,,,,,https://www.uncannymagazine.com/article/survive-epic-journey/,Uncanny Magazine,"Fill my cup with wine, girl. Pass the honey cakes, and I shall tell you a tale of adventure and heroes. I was there. I knew them all. (1) Meleager liked to think it was for his sake that I ran away from home and joined the crew of the Argo. Ours, he believed, was […]",./scrape/jsonfiles/j9Vo2bc3tOqEbJDZopPLzoMhkJE.json,True
YdRsE4GBzekJPxtLJyHfGVbovd0=,Paradox,Naomi Kritzer,uncannymagazine.com,2017-06-06,,,,,,https://www.uncannymagazine.com/article/paradox/,Uncanny Magazine,"This is the original timeline. You know, the one all of us came from. So we can’t do anything to it, or we won’t be born to invent time travel. We can only meddle with other timelines. This is the original timeline. We’re trying to fix things. Unfortunately for you, if we ever do manage […]",./scrape/jsonfiles/2fc-GS9odPbyQLX1F0-tKrL6CLo.json,True
wMAU59Cpjpd3IlcJ7PVzP4sof60=,Celia and the Conservation of Entropy,Amelia Beamer,uncannymagazine.com,2014-12-02,,,,,,https://www.uncannymagazine.com/article/celia-conservation-entropy/,Uncanny Magazine,Celia and the Conservation of Entropy Short Story by Amelia Beamer. Uncanny Magazine Issue One.,./scrape/jsonfiles/FAMawmtzVVeWr1zVTEqajDXktgA.json,True
yq94c0OIffkgUgZynpY+D81Mf/0=,The Sin of America,Catherynne M Valente,uncannymagazine.com,2021-03-02,,,,,,https://www.uncannymagazine.com/article/the-sin-of-america/,Uncanny Magazine,"Content Note: Child Death and Violence Against Women There’s a woman outside of a town called Sheridan, where the sky comes so near to earth it has to use the crosswalk just like everybody else. There’s a woman outside of Sheridan, sitting in the sun-yellow booth in the far back corner of the Blue […]",./scrape/jsonfiles/Tq7BTrBVvi50zgyeMn6K8QqlVFk.json,True
ydrhRMmFDM1IWKcln5x24CjdIoU=,50 Things Every AI Working with Humans Should Know,Ken Liu,uncannymagazine.com,2020-11-03,,,,,,https://www.uncannymagazine.com/article/50-things-every-ai-working-with-humans-should-know/,Uncanny Magazine,"Obituary WHEEP-3 (“Dr. Weep”), probably the most renowned AI AI-critic of the last two decades, was retired by the Shallow Laboratory at Stanford University last Wednesday. Created by Dr. Jody Reynolds Tran more than two decades ago, the experimental generative neural network that would become WHEEP-3 was at first intended as a teaching assistant in […]",./scrape/jsonfiles/ctI-rDScDzAv8AYoWnki7r8nNwU.json,True
