fingerprint,title,author,hostname,date,categories,tags,id,license,comments,source,source-hostname,excerpt,filename,has_text
ICtc7a8QWgsj2LI57UgEeQ4A0l8=,"He, She",Akis Papantonis ,vestalreview.net,2020-07-28,,,,,,https://vestalreview.net/he-she/,Vestal Review,"By Akis Papantonis HE IS LEFT-HANDED. SHE IS NOT. He always quotes famous people. She always speaks with innuendos. He runs fiveContinue readingHe, She",./scrape/jsonfiles/RnQNLMPjDp5Ur8HPvEivkCP92DU.json,TRUE
ODtWc5kPHrg4jp7YobuvK5MjUME=,What Is Said About Elephants,Wendell Mayo ,vestalreview.net,2020-07-28,,,,,,https://vestalreview.net/what-is-said-about-elephants/,Vestal Review,"By Wendell Mayo Because you promised Soledad so many times but never went, you resolve to visit her elephants at the zoo,Continue readingWhat Is Said About Elephants",./scrape/jsonfiles/+v7jw14RYddYRKIymCITufJNQVQ.json,TRUE
/Lek/3xlb8HO5jUc6x5p83F3R6c=,I Don't Love You Too,Brett Jackson ,vestalreview.net,2020-07-28,,,,,,https://vestalreview.net/i-dont-love-you-too/,Vestal Review,by Brett Jackson You meet Gina during your first week in Liars Anonymous. You’re hesitant to date another compulsive liar. Group mightContinue readingI Don’t Love You Too,./scrape/jsonfiles/MiX5KYXBaaCvIAIj+TWlSRINw78.json,TRUE
WVxCF6aK56uApwxGXfNq1B54w3k=,Expiration,Sonya Taaffe ,vestalreview.net,2020-07-27,,,,,,https://vestalreview.net/expiration/,Vestal Review,"by Sonya Taaffe She smokes your heart like a black-and-white cigarette, exhales a plume of smoke as milky as the seed sheContinue readingExpiration",./scrape/jsonfiles/y7Pa9jekRur8piaR2e6q2mmGoJE.json,TRUE
eusKiDRmA8AkIUq2FhQ4Z5lm2KU=,Channel 8 News,Doug Cornett ,vestalreview.net,2020-07-28,,,,,,https://vestalreview.net/channel-8-news/,Vestal Review,"By Doug Cornett Victor daydreams that he lives with the Channel 8 news team. All of them together—Sports, Weather, Man and Woman LeadContinue readingChannel 8 News",./scrape/jsonfiles/EqRbgOFIWggA-BA5ZnztFqfdJkU.json,TRUE
0xZkufc/+eazsgo1D92okk7wmH4=,It's Not Your Hat,Cate McGowan ,vestalreview.net,2020-07-27,,,,,,https://vestalreview.net/its-not-your-hat/,Vestal Review,"by Cate McGowan “That’s my hat.” Your accuser’s black hair frizzes in a calamitous scribble-she really needs the hat more than you.“No,Continue readingIt’s Not Your Hat",./scrape/jsonfiles/FHLaP2YeGJkvl6-tk7MkDf0ylnk.json,TRUE
RF5uyvWpmA6JCeyGyJQop9SmcCs=,What I Thought About When You Fell Off the Mountain,Molly Lanzarotta ,vestalreview.net,2019-07-22,,,,,,https://vestalreview.net/what-i-thought-about-when-you-fell-off-the-mountain/,Vestal Review,By Molly Lanzarotta You were the shiniest tree in British Columbia. You were the tallest car in Detroit. You were the warmthContinue readingWhat I Thought About When You Fell Off the Mountain,./scrape/jsonfiles/MselLjJD2lstFLES5zPYsmG95OM.json,TRUE
lgrzpFOYJvm6L5qnCe9jAY3KtzY=,Extra White and Chromey,Martin Brick ,vestalreview.net,2020-07-28,,,,,,https://vestalreview.net/extra-white-and-chromey/,Vestal Review,"By Martin Brick Seems odd, and admittedly creepy, how on our second date he rhapsodized about the sublimity of his morning shower.Continue readingExtra White and Chromey",./scrape/jsonfiles/HzlKqknT9BlXq1xvvacZYYuge+U.json,TRUE
dcSkAZLWInrzdvuW4ORG7qM79Hc=,The Second Plague,Sarah Prevatt ,vestalreview.net,2020-07-28,,,,,,https://vestalreview.net/the-second-plague/,Vestal Review,By Sarah Prevatt Pops left for good the day the toads fell from the sky. They didn’t actually fall from the sky—atContinue readingThe Second Plague,./scrape/jsonfiles/uxjoPDs34fjVxhPvascmhpWAt1E.json,TRUE
6nO9Eh6rkVKese7iPcApQxoZri8=,Faustian Butterfly,Masha Rumer ,vestalreview.net,2020-07-27,,,,,,https://vestalreview.net/faustian-butterfly/,Vestal Review,"by Masha Rumer Dance for me, my love. Swing those hips, let me hear that rustling skirt. And who could say no whenContinue readingFaustian Butterfly",./scrape/jsonfiles/cUONFlewA7E2a4ikn6hGDq6o2Bs.json,TRUE
