fingerprint,title,author,hostname,date,categories,tags,id,license,source,source-hostname,excerpt,filename
bZjuh7PALzw5cJ2iJBWheRmxV2I=,Furnace,David Davis,weirdfictionreview.com,2016-05-27,Fiction,short story;weird fiction;word horde,,,https://weirdfictionreview.com/2016/05/furnace/,Weird Fiction Review,"The following is the title story from Livia Llewellyn’s 2016 collection, Furnace (Word Horde). “Furnace” originally appeared in The Grimscribe’s Puppets (ed. Joseph S. Pulver, Sr.), where it received a Shirley Jackson Award nomination, and it was reprinted in The Year’s Best Weird Fiction, Vol 1 (eds. Laird Barron and Michael Kelly). It has not previously appeared online. Everyone […]",./scrape/jsonfiles/jX1qPzlzL1kC7L2FFY5VU9FOteQ.json
8qSaI4NAIAUA9r5N9cKAjVGeO/I=,The Neglected Garden,Jeffvandermeer,weirdfictionreview.com,2012-07-31,Fiction,,,,https://weirdfictionreview.com/2012/07/the-neglected-garden/,Weird Fiction Review,"Kathe Koja is an American writer who first emerged as a novelist during the U.S. horror boom of the early 1990s. Kafkaesque, transgressive novels such as The Cipher (1991), Bad Brains (1992), Skin (1993), and Strange Angels (1994) established her as one of weird fiction’s most innovative practitioners. Story collaborations with science fiction writer Barry Malzberg […]",./scrape/jsonfiles/TUKOcB6IVzbxNQLh88sBHESqCXQ.json
zWv2/wK36MtF38Zct5HAUODIrW8=,"""The Secret War""",Jeffvandermeer,weirdfictionreview.com,2011-11-15,Fiction,,,,https://weirdfictionreview.com/2011/11/the-secret-war-by-michal-ajvaz/,Weird Fiction Review,"Michal Ajvaz’s second novel translated into English, The Golden Age, is described by the publisher, Dalkey Archive Press, as “a fantastical travelogue by a modern-day Gulliver about a civilization he once encountered on a tiny island in the Atlantic.” The various observations and encounters of the unnamed narrator delineate a prolonged culture clash between the European interlopers and the […]",./scrape/jsonfiles/YFiMVulm0TC65eKYN-7OylSdv0I.json
N/uTsd/M1SAsyPK8PQeoSh9Aevo=,The Voice in the Night,Adam Mills,weirdfictionreview.com,2015-03-03,Fiction,fiction;weird fiction;weird seas;weird voyages,,,https://weirdfictionreview.com/2015/03/the-voice-in-the-night/,Weird Fiction Review,"“The Voice in the Night” is the first story in our weird voyages and strange seas week which featured three strange stories set at sea. – The Editors It was a dark, starless night. We were becalmed in the Northern Pacific. Our exact position I do not know; for the sun had been hidden during the course of a weary, breathless […]",./scrape/jsonfiles/+QhL4jR3eVny63pfJmoAmOqpUvA.json
XgTFny0ZyEqfud3BDkPjiGPTsBE=,Down the Wall,Adam Mills,weirdfictionreview.com,2015-04-08,Fiction,,,,https://weirdfictionreview.com/2015/04/down-the-wall/,Weird Fiction Review,"Greer Gilman is an American author of fantasy stories. Her novel Moonwise won the Crawford Award in 1991. Her triptych of linked stories, Cloud & Ashes: Three Winter’s Tales, won the Tiptree Award in 2009 and was shortlisted for the Mythopoeic Award in 2010. Her story “A Crowd of Bone,” originally published in the anthology Trampoline, […]",./scrape/jsonfiles/uv4JRtEnU3ZCTtnPbDyWsfBuUlo.json
fRW9uDKwP5JoR+/fpJdfBEcoXUw=,Selections from Nervous Tales,Adam Mills,weirdfictionreview.com,2013-03-19,Fiction,,,,https://weirdfictionreview.com/2013/03/selections-from-nervous-tales/,Weird Fiction Review,"Carlos Díaz Dufoo (1861−1941) was a Mexican writer of fiction and nonfiction; he was also a journalist and an academic economist. He founded newspapers in his hometown of Veracruz and edited for major newspapers and journals, among other projects. His notable work of fiction is his collection Nervous Tales [Cuentos Nerviosos], which has been translated in full […]",./scrape/jsonfiles/-T93ZXozsvmamCkrGWzU9oiHTKM.json
zsLQ7IVMQj5nH5dYrr9LPfogR7w=,"""Cicisbeo"" by M. John Harrison",David Davis,weirdfictionreview.com,2018-03-21,Fiction,fiction;short story;weird fiction,,,https://weirdfictionreview.com/2018/03/cicisbeo/,Weird Fiction Review,"“Cicisbeo” appears in M. John Harrison’s 2017 collection You Should Come With Me Now, published by Comma Press. We’re also featuring a review of the collection by Christopher Burke. Summer was half over before it had even begun. With a sense that my life was in the same state, I phoned Lizzie Shaw. She hadn’t changed. They lived in East […]",./scrape/jsonfiles/WAF2zsglLiS73hp0u25yqY3VEtg.json
P1TqlFpBYJ+kGzv1gEyIn//6Rck=,Legion,Adam Mills,weirdfictionreview.com,2012-04-30,Fiction,,,,https://weirdfictionreview.com/2012/04/legion/,Weird Fiction Review,"Brian Evenson is an influential American writer of hard-to-classify dark fiction that often seems surreal or Kafkaesque. His critically acclaimed story collections include The Wavering Knife and Fugue State. Recently, Coffee House Press published a new collection of Evenson’s, Windeye, which can be found at the press’s website for purchase. According to the publisher, Windeye is […]",./scrape/jsonfiles/4ci-SvNQUJvc-bivB6FSDGBqPQ4.json
dhqqjAhCM4+8ZSw6gnluzkdwgDg=,Blood Makes Noise,Jeffvandermeer,weirdfictionreview.com,2012-03-22,12 Days of Monsters;Fiction,,,,https://weirdfictionreview.com/2012/03/blood-makes-noise/,Weird Fiction Review,"Gemma Files is a Canadian citizen, and has lived in Toronto, Ontario for her entire life (thus far). She is the daughter of two actors, Gary Files and Elva Mai Hoover. She has published two collections of short stories (Kissing Carrion and The Worm in Every Heart, both from Prime Books) and two chapbooks of poetry […]",./scrape/jsonfiles/OP3GTP+ZglKBLkCvIHLVmI8sGCo.json
+nR8eXkh9zqiItYZyf+qst1HaXg=,Erbach’s Emporium of Automata,David Davis,weirdfictionreview.com,2014-09-29,Fiction,fiction;weird fiction,,,https://weirdfictionreview.com/2014/09/erbachs-emporium-of-automata/,Weird Fiction Review,"The following story comes from D. P. Watt’s recently reprinted short story collection, An Emporium of Automata, available from Eibonvale Press. Watt also has a new collection out this year from Egaeus Press called The Phantasmagorical Imperative and Other Fabrications. Watt’s fiction is a unique blend of magical realism à la Jorge Luis Borges with disquieting settings that recall the works of Robert Aickman. To learn more about Watt, […]",./scrape/jsonfiles/DkywZYALy-xF8tKbSlMGsfAnszU.json
