fingerprint,title,author,volume,issues,date,categories,tags,id,license,comments,source-hostname,hostname,source,excerpt,filename,has_text
RnuggFosItPWiIqtZBMfOU3AAsU=,A Day To Remember,Robert A. Boyd,4,4,2003-10-01,,"Historical, SF, Science Fiction, Victorian",,,,Would That It Were magazine,wouldthatitwere.com,https://web.archive.org/web/20050727004221/http://www.wouldthatitwere.com/octdec2003/daytoremember.htm,,./scrape/jsonfiles/Brgh9mpyU7jVkJAPxsHVxumEmLo.json,TRUE
wTZzTaZbuEhWhXpGqOcEh0egrKs=,A Narrative of Future Possibilities,Kevin James Miller,2,1,2004-01-01,,"Historical, SF, Science Fiction, Victorian",,,,Would That It Were magazine,wouldthatitwere.com,https://web.archive.org/web/20050903212707/http://www.wouldthatitwere.com/janmar2001/narrative.html,,./scrape/jsonfiles/3PyhWzt2MXnzvx4Xpp5lD-QrhYk.json,TRUE
XGp3ffmXtl7Mv7e1IO9HZnsRQm0=,A Pile of Moonstones,Greg Beatty,5,2,2004-04-01,,"Historical, SF, Science Fiction, Victorian",,,,Would That It Were magazine,wouldthatitwere.com,https://web.archive.org/web/20050905180510/http://wouldthatitwere.com/julysept2004/moonstones.htm,,./scrape/jsonfiles/1yrv5tPm5xRMGsdwK-BKK4CRrKo.json,TRUE
iigicQS+/TTrItyZ1sngsk5jQUQ=,A Summer's Day in Sarajevo,Patricia Coate,2,1,2001-01-01,,"Historical, SF, Science Fiction, Victorian",,,,Would That It Were magazine,wouldthatitwere.com,https://web.archive.org/web/20050903212707/http://www.wouldthatitwere.com/janmar2001/summersday.html,,./scrape/jsonfiles/pA69rFboqjdY-7VHUHoBDiy0ZNo.json,TRUE
IQlEWA7+b74olLYIZQW0Wl6fR0E=,A Turn in the Road,Jeff Robinson,3,1,2002-01-01,,"Historical, SF, Science Fiction, Victorian",,,,Would That It Were magazine,wouldthatitwere.com,https://web.archive.org/web/20051003193024/http://www.wouldthatitwere.com/janmar2002/turn.html,,./scrape/jsonfiles/AS8aXKflP2WoiCI9XDhvkz4qt7E.json,TRUE
7jPXksLarTdhdzy4DZCJDcka0hA=,A Writer's Story,Joe Murphy,2,1,2005-01-01,,"Historical, SF, Science Fiction, Victorian",,,,Would That It Were magazine,wouldthatitwere.com,https://web.archive.org/web/20050903212707/http://www.wouldthatitwere.com/janmar2001/writers.html,,./scrape/jsonfiles/e2F2XgESZrqfSsztIN+5BRoAI8g.json,TRUE
CD594snf+lFUtHR9nx7xk7f/I8U=,An Evening in H.G.'s Drawing Room,Bruce Bethke,3,2,2002-07-01,,"Historical, SF, Science Fiction, Victorian",,,,Would That It Were magazine,wouldthatitwere.com,https://web.archive.org/web/20051030131543/http://www.wouldthatitwere.com/octdec2002/hgdrawingroom.html,,./scrape/jsonfiles/MOUUQH+KDFq8vKV2FpYYzk5F750.json,TRUE
TDMvcPWi/fXtOBavXD6Ocj79GUw=,Appleseed,Tim Cooper,2,2,2001-04-01,,"Historical, SF, Science Fiction, Victorian",,,,Would That It Were magazine,wouldthatitwere.com,https://web.archive.org/web/20050421124105/http://www.wouldthatitwere.com/aprjun2001/appleseed.html,,./scrape/jsonfiles/oCvVTLlm2n2BYpqWi7y2B53Psdc.json,TRUE
HsI9MDZ13p4R4fOZHGs+mkhGe1w=,Button by Button,E. Catherine Tobler,2,2,2001-04-01,,"Historical, SF, Science Fiction, Victorian",,,,Would That It Were magazine,wouldthatitwere.com,https://web.archive.org/web/20050421124105/http://www.wouldthatitwere.com/aprjun2001/buttonbybutton.html,,./scrape/jsonfiles/glHTwhbUXAUAoDT7nSl5Q-8NvMY.json,TRUE
Qlx+wfjS9uEJuRQV1enbv4Muxk8=,Claire,Zach Smith,2,3,2001-10-01,,"Historical, SF, Science Fiction, Victorian",,,,Would That It Were magazine,wouldthatitwere.com,https://web.archive.org/web/20050421121801/http://www.wouldthatitwere.com/octdec2001/claire.html,,./scrape/jsonfiles/C2Ve2YuAAHG2Uj3prKUvNH5hJwE.json,TRUE
